Left Position,Right Position,Left Velocity,Right Velocity,Yaw
12.0,33.0,0.0,0.0,360.7470703125
0.0,0.0,0.0,0.0,359.9560546875
0.0,0.0,0.0,0.0,359.9560546875
0.0,0.0,0.0,0.0,359.9560546875
0.0,0.0,0.0,0.0,359.9560546875
0.0,0.0,0.0,0.0,359.9560546875
0.0,0.0,0.0,0.0,359.9560546875
0.0,1.0,0.0,1.0,359.9560546875
0.0,1.0,0.0,1.0,360.0
-4.0,1.0,-4.0,1.0,360.0
-4.0,1.0,-4.0,1.0,360.0
-4.0,11.0,-4.0,8.0,360.0
-27.0,11.0,-19.0,8.0,360.0439453125
-27.0,11.0,-19.0,8.0,360.087890625
-27.0,11.0,-19.0,33.0,360.0439453125
-27.0,54.0,-19.0,33.0,360.087890625
-94.0,54.0,-50.0,33.0,360.1318359375
-94.0,54.0,-50.0,33.0,360.2197265625
-94.0,166.0,-50.0,81.0,360.439453125
-94.0,166.0,-50.0,81.0,360.52734375
-256.0,166.0,-115.0,81.0,360.8349609375
-256.0,166.0,-115.0,81.0,361.0107421875
-256.0,166.0,-115.0,81.0,361.1865234375
-256.0,366.0,-115.0,135.0,361.494140625
-524.0,366.0,-180.0,135.0,361.93359375
-524.0,366.0,-180.0,135.0,362.28515625
-524.0,655.0,-180.0,190.0,362.548828125
-894.0,655.0,-243.0,190.0,363.0322265625
-894.0,655.0,-243.0,190.0,363.4716796875
-894.0,1041.0,-243.0,254.0,364.2626953125
-894.0,1041.0,-243.0,254.0,364.833984375
-1380.0,1041.0,-319.0,254.0,365.4931640625
-1380.0,1041.0,-319.0,254.0,366.328125
-1380.0,1518.0,-319.0,309.0,367.03125
-1380.0,1518.0,-319.0,309.0,368.26171875
-1994.0,1518.0,-397.0,309.0,369.3603515625
-1994.0,1518.0,-397.0,365.0,370.9423828125
-1994.0,2079.0,-397.0,365.0,372.12890625
-2710.0,2079.0,-458.0,365.0,373.2275390625
-2710.0,2079.0,-458.0,365.0,374.8974609375
-2710.0,2725.0,-458.0,410.0,376.083984375
-2710.0,2725.0,-458.0,410.0,377.666015625
-3529.0,2725.0,-527.0,410.0,378.4130859375
-3529.0,2725.0,-527.0,410.0,379.86328125
-3529.0,2725.0,-527.0,410.0,380.8740234375
-3529.0,3423.0,-527.0,445.0,381.8408203125
-4352.0,3423.0,-515.0,445.0,382.8955078125
-4352.0,3423.0,-515.0,445.0,383.73046875
-4352.0,4182.0,-515.0,482.0,384.8291015625
-4352.0,4182.0,-515.0,482.0,385.400390625
-5203.0,4182.0,-522.0,482.0,386.103515625
-5203.0,4182.0,-522.0,482.0,386.630859375
-5203.0,4961.0,-522.0,485.0,387.1142578125
-6018.0,4961.0,-513.0,485.0,387.421875
-6018.0,4961.0,-513.0,485.0,387.685546875
-6018.0,4961.0,-513.0,485.0,387.861328125
-6018.0,5747.0,-513.0,483.0,388.1689453125
-6799.0,5747.0,-474.0,483.0,388.3447265625
-6799.0,5747.0,-474.0,483.0,388.4326171875
-6799.0,6487.0,-474.0,460.0,388.388671875
-6799.0,6487.0,-474.0,460.0,388.2568359375
-7491.0,6487.0,-429.0,460.0,388.0810546875
-7491.0,6487.0,-429.0,460.0,387.685546875
-7491.0,7164.0,-429.0,413.0,387.0703125
-8087.0,7164.0,-357.0,413.0,386.630859375
-8087.0,7164.0,-357.0,413.0,386.1474609375
-8087.0,7756.0,-357.0,363.0,385.576171875
-8087.0,7756.0,-357.0,363.0,385.0927734375
-8087.0,7756.0,-357.0,363.0,384.7412109375
-8557.0,7756.0,-277.0,363.0,383.6865234375
-8557.0,7756.0,-277.0,363.0,383.02734375
-8557.0,8225.0,-277.0,282.0,382.3681640625
-8911.0,8225.0,-209.0,282.0,381.4013671875
-8911.0,8225.0,-209.0,282.0,380.830078125
-8911.0,8570.0,-209.0,194.0,380.5224609375
-8911.0,8570.0,-209.0,194.0,380.126953125
-9148.0,8570.0,-138.0,194.0,379.599609375
-9148.0,8570.0,-138.0,194.0,379.248046875
-9148.0,8790.0,-138.0,122.0,378.7646484375
-9148.0,8790.0,-138.0,122.0,378.5009765625
-9273.0,8790.0,-68.0,122.0,378.193359375
-9273.0,8790.0,-68.0,122.0,377.9736328125
-9273.0,8896.0,-68.0,55.0,377.7099609375
-9273.0,8896.0,-68.0,55.0,377.490234375
-9314.0,8896.0,-15.0,55.0,377.2265625
-9314.0,8896.0,-15.0,55.0,377.0068359375
-9314.0,8916.0,-15.0,4.0,376.962890625
-9314.0,8916.0,-15.0,4.0,377.0068359375
-9303.0,8916.0,9.0,4.0,376.962890625
-9303.0,8916.0,9.0,4.0,376.875
