Left Position,Right Position,Left Velocity,Right Velocity,Yaw
246.0,-262.0,0.0,0.0,360.0
0.0,0.0,0.0,0.0,360.0
0.0,0.0,0.0,0.0,360.0
0.0,0.0,0.0,0.0,360.0
0.0,0.0,0.0,0.0,360.0
0.0,0.0,0.0,0.0,360.0
0.0,3.0,0.0,3.0,360.0
-10.0,3.0,-8.0,3.0,360.0
-10.0,3.0,-8.0,3.0,360.0
-10.0,3.0,-8.0,3.0,360.0
-10.0,26.0,-8.0,18.0,360.0
-46.0,26.0,-26.0,18.0,360.0
-46.0,26.0,-26.0,18.0,360.0
-46.0,26.0,-26.0,18.0,360.0
-46.0,94.0,-26.0,49.0,360.0
-135.0,94.0,-64.0,49.0,359.9560546875
-135.0,94.0,-64.0,49.0,359.9560546875
-135.0,241.0,-64.0,102.0,359.912109375
-135.0,241.0,-64.0,102.0,359.8681640625
-310.0,241.0,-118.0,102.0,359.736328125
-310.0,485.0,-118.0,165.0,359.6044921875
-310.0,485.0,-118.0,165.0,359.47265625
-565.0,485.0,-167.0,165.0,359.208984375
-565.0,485.0,-167.0,165.0,359.0771484375
-565.0,803.0,-167.0,209.0,358.857421875
-565.0,803.0,-167.0,209.0,358.7255859375
-905.0,803.0,-227.0,209.0,358.59375
-905.0,803.0,-227.0,209.0,358.41796875
-905.0,1233.0,-227.0,281.0,358.2421875
-1327.0,1233.0,-271.0,281.0,357.9345703125
-1327.0,1233.0,-271.0,281.0,357.626953125
-1327.0,1732.0,-271.0,321.0,357.1875
-1327.0,1732.0,-271.0,321.0,356.923828125
-1812.0,1732.0,-312.0,321.0,356.5283203125
-1812.0,1732.0,-312.0,321.0,356.1328125
-1812.0,2319.0,-312.0,378.0,355.693359375
-1812.0,2319.0,-312.0,378.0,355.2099609375
-2348.0,2319.0,-337.0,378.0,354.5068359375
-2348.0,2319.0,-337.0,378.0,353.6279296875
-2348.0,2974.0,-337.0,415.0,353.0126953125
-2348.0,2974.0,-337.0,415.0,352.353515625
-2933.0,2974.0,-371.0,415.0,351.6943359375
-2933.0,2974.0,-371.0,415.0,350.8154296875
-2933.0,3666.0,-371.0,441.0,349.98046875
-3572.0,3666.0,-413.0,441.0,349.3212890625
-3572.0,3666.0,-413.0,441.0,348.662109375
-3572.0,3666.0,-413.0,441.0,348.2666015625
-3572.0,4407.0,-413.0,461.0,347.87109375
-4250.0,4407.0,-427.0,461.0,347.2119140625
-4250.0,4407.0,-427.0,461.0,346.552734375
-4250.0,5153.0,-427.0,475.0,345.9814453125
-4250.0,5153.0,-427.0,475.0,345.498046875
-4970.0,5153.0,-461.0,475.0,345.234375
-4970.0,5153.0,-461.0,475.0,345.05859375
-4970.0,5894.0,-461.0,455.0,344.794921875
-5681.0,5894.0,-440.0,455.0,344.6630859375
-5681.0,5894.0,-440.0,455.0,344.4873046875
-5681.0,6607.0,-440.0,436.0,344.3115234375
-5681.0,6607.0,-440.0,436.0,344.3115234375
-6341.0,6607.0,-407.0,436.0,344.267578125
-6341.0,6607.0,-407.0,436.0,344.267578125
-6341.0,7238.0,-407.0,387.0,344.3115234375
-6341.0,7238.0,-407.0,387.0,344.3115234375
-6928.0,7238.0,-356.0,387.0,344.443359375
-6928.0,7238.0,-356.0,387.0,344.619140625
-6928.0,7768.0,-356.0,318.0,344.794921875
-7419.0,7768.0,-293.0,318.0,344.970703125
-7419.0,7768.0,-293.0,318.0,345.1904296875
-7419.0,8174.0,-293.0,240.0,345.3662109375
-7419.0,8174.0,-293.0,240.0,345.8056640625
-7800.0,8174.0,-227.0,240.0,346.201171875
-7800.0,8174.0,-227.0,240.0,346.7724609375
-7800.0,8461.0,-227.0,162.0,347.431640625
-8078.0,8461.0,-162.0,162.0,347.958984375
-8078.0,8461.0,-162.0,162.0,348.4423828125
-8078.0,8623.0,-162.0,91.0,348.837890625
-8078.0,8623.0,-162.0,91.0,349.189453125
-8253.0,8623.0,-98.0,91.0,349.716796875
-8253.0,8623.0,-98.0,91.0,350.068359375
-8253.0,8704.0,-98.0,39.0,350.5517578125
-8253.0,8704.0,-98.0,39.0,351.0791015625
-8350.0,8704.0,-52.0,39.0,351.6064453125
-8350.0,8704.0,-52.0,39.0,352.0458984375
-8350.0,8704.0,-52.0,39.0,352.3974609375
-8350.0,8713.0,-52.0,-2.0,352.79296875
-8380.0,8713.0,-11.0,-2.0,352.880859375
-8380.0,8713.0,-11.0,-2.0,352.8369140625
-8380.0,8713.0,-11.0,-2.0,352.7490234375
-8380.0,8710.0,-11.0,-2.0,352.6611328125
-8380.0,8710.0,-11.0,-2.0,352.6171875
-8366.0,8710.0,12.0,-2.0,352.5732421875
-8366.0,8710.0,12.0,-2.0,352.6171875
-8366.0,8696.0,12.0,-10.0,352.705078125
-8366.0,8696.0,12.0,-10.0,352.8369140625
-8361.0,8696.0,1.0,-10.0,352.9248046875
-8361.0,8696.0,1.0,-10.0,352.96875
-8361.0,8688.0,1.0,-3.0,352.96875
-8361.0,8688.0,1.0,-3.0,352.96875
