dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000870,4.339999,0.000198,0.019756,0.987824,49.391188,6.280626
0.020000,0.000962,4.339999,0.000289,0.004581,-0.758767,-87.329542,6.280356
0.020000,0.001764,4.339996,0.001091,0.040097,1.775801,126.728410,6.279907
0.020000,0.003361,4.339990,0.002688,0.079864,1.988332,10.626534,6.279276
0.020000,0.005415,4.339982,0.004743,0.102713,1.142442,-42.294497,6.278464
0.020000,0.007927,4.339968,0.007254,0.125582,1.143466,0.051197,6.277469
0.020000,0.010896,4.339950,0.010224,0.148479,1.144873,0.070376,6.276289
0.020000,0.014324,4.339924,0.013652,0.171408,1.146430,0.077817,6.274922
0.020000,0.018212,4.339889,0.017540,0.194375,1.148353,0.096173,6.273366
0.020000,0.022559,4.339842,0.021887,0.217385,1.150491,0.106880,6.271619
0.020000,0.027368,4.339782,0.026696,0.240441,1.152788,0.114867,6.269678
0.020000,0.032638,4.339705,0.031967,0.263551,1.155534,0.137274,6.267540
0.020000,0.038372,4.339609,0.037701,0.286720,1.158431,0.144896,6.265201
0.020000,0.044570,4.339489,0.043901,0.309952,1.161625,0.159659,6.262657
0.020000,0.051233,4.339343,0.050566,0.333255,1.165115,0.174518,6.259905
0.020000,0.058364,4.339167,0.057698,0.356631,1.168813,0.184883,6.256940
0.020000,0.065962,4.338955,0.065300,0.380093,1.173079,0.213306,6.253757
0.020000,0.074031,4.338704,0.073373,0.403637,1.177236,0.207852,6.250351
0.020000,0.082572,4.338408,0.081918,0.427280,1.182123,0.244349,6.246717
0.020000,0.091586,4.338062,0.090939,0.451018,1.186909,0.239330,6.242848
0.020000,0.101074,4.337659,0.100436,0.474863,1.192271,0.268085,6.238739
0.020000,0.111040,4.337194,0.110413,0.498822,1.197955,0.284204,6.234383
0.020000,0.121484,4.336660,0.120871,0.522900,1.203867,0.295609,6.229772
0.020000,0.132409,4.336049,0.131813,0.547103,1.210157,0.314505,6.224900
0.020000,0.143817,4.335354,0.143241,0.571440,1.216867,0.335484,6.219758
0.020000,0.155709,4.334567,0.155160,0.595916,1.223775,0.345397,6.214339
0.020000,0.168088,4.333678,0.167570,0.620538,1.231124,0.367424,6.208634
0.020000,0.180955,4.332678,0.180477,0.645315,1.238829,0.385281,6.202633
0.020000,0.194314,4.331557,0.193882,0.670254,1.246954,0.406247,6.196327
0.020000,0.208164,4.330305,0.207789,0.695357,1.255175,0.411038,6.189707
0.020000,0.222509,4.328910,0.222202,0.720638,1.264039,0.443198,6.182762
0.020000,0.237351,4.327360,0.237124,0.746101,1.273133,0.454709,6.175481
0.020000,0.252690,4.325642,0.252559,0.771749,1.282415,0.464111,6.167854
0.020000,0.268528,4.323743,0.268511,0.797595,1.292285,0.493495,6.159868
0.020000,0.284867,4.321649,0.284983,0.823639,1.302200,0.495766,6.151513
0.020000,0.301708,4.319344,0.301981,0.849890,1.312579,0.518912,6.142775
0.020000,0.319051,4.316812,0.319508,0.876352,1.323076,0.524884,6.133643
0.020000,0.336897,4.314036,0.337569,0.903029,1.333851,0.538743,6.124104
0.020000,0.355246,4.310999,0.356167,0.929924,1.344742,0.544517,6.114145
0.020000,0.374097,4.307681,0.375308,0.957041,1.355850,0.555437,6.103753
0.020000,0.393449,4.304063,0.394996,0.984376,1.366778,0.546401,6.092915
0.020000,0.413301,4.300123,0.415234,1.011933,1.377834,0.552764,6.081619
0.020000,0.433649,4.295841,0.436029,1.039709,1.388791,0.547855,6.069850
0.020000,0.454491,4.291192,0.457382,1.067697,1.399390,0.529954,6.057597
0.020000,0.475822,4.286154,0.479300,1.095891,1.409730,0.517021,6.044848
0.020000,0.497636,4.280701,0.501786,1.124283,1.419572,0.492093,6.031591
0.020000,0.519928,4.274807,0.524843,1.152859,1.428797,0.461255,6.017815
0.020000,0.542688,4.268447,0.548475,1.181602,1.437146,0.417448,6.003510
0.020000,0.565907,4.261592,0.572685,1.210494,1.444613,0.373354,5.988668
0.020000,0.589574,4.254214,0.597475,1.239510,1.450814,0.310062,5.973281
0.020000,0.613675,4.246284,0.622848,1.268624,1.455687,0.243648,5.957344
0.020000,0.638196,4.237773,0.648804,1.297801,1.458876,0.159450,5.940852
0.020000,0.663120,4.228652,0.675344,1.327006,1.460240,0.068163,5.923805
0.020000,0.688426,4.218890,0.702468,1.356196,1.459479,-0.038043,5.906202
0.020000,0.714093,4.208457,0.730174,1.385323,1.456377,-0.155070,5.888049
0.020000,0.740098,4.197326,0.758461,1.414337,1.450704,-0.283655,5.869350
0.020000,0.766412,4.185466,0.787325,1.443181,1.442196,-0.425405,5.850117
0.020000,0.793007,4.172849,0.816761,1.471796,1.430730,-0.573297,5.830363
0.020000,0.819852,4.159451,0.846763,1.500116,1.416025,-0.735244,5.810105
0.020000,0.846911,4.145245,0.877324,1.528079,1.398106,-0.895986,5.789364
0.020000,0.874148,4.130209,0.908437,1.555612,1.376675,-1.071512,5.768165
0.020000,0.901525,4.114321,0.940090,1.582653,1.352030,-1.232283,5.746538
0.020000,0.929001,4.097564,0.972272,1.609130,1.323856,-1.408666,5.724515
0.020000,0.956533,4.079922,1.004972,1.634982,1.292585,-1.563548,5.702134
0.020000,0.984079,4.061383,1.038175,1.660147,1.258278,-1.715380,5.679435
0.020000,1.011592,4.041938,1.071866,1.684571,1.221218,-1.852994,5.656461
0.020000,1.039029,4.021581,1.106030,1.708205,1.181681,-1.976869,5.633259
0.020000,1.066344,4.000310,1.140651,1.731011,1.140303,-2.068862,5.609877
0.020000,1.093493,3.978127,1.175710,1.752963,1.097587,-2.135831,5.586366
0.020000,1.120432,3.955036,1.211191,1.774031,1.053397,-2.209476,5.562778
0.020000,1.147118,3.931046,1.247075,1.794220,1.009473,-2.196188,5.539164
0.020000,1.173512,3.906168,1.283345,1.813526,0.965274,-2.209955,5.515577
0.020000,1.199388,3.880606,1.319719,1.818655,0.256470,-35.440198,5.492237
0.020000,1.224381,3.854751,1.355678,1.797997,-1.032921,-64.469571,5.469499
0.020000,1.246736,3.830651,1.388550,1.643590,-7.720340,-334.370963,5.451533
0.020000,1.269111,3.805659,1.422095,1.677217,1.681369,470.085484,5.433576
0.020000,1.290816,3.780515,1.455311,1.660831,-0.819332,-125.035087,5.415422
0.020000,1.311846,3.755237,1.488193,1.644110,-0.836038,-0.835269,5.397088
0.020000,1.332193,3.729842,1.520734,1.627036,-0.853714,-0.883810,5.378597
0.020000,1.351851,3.704350,1.552926,1.609577,-0.872926,-0.960607,5.359971
0.020000,1.370818,3.678783,1.584760,1.591715,-0.893128,-1.010107,5.341233
0.020000,1.389088,3.653161,1.616229,1.573431,-0.914183,-1.052762,5.322408
0.020000,1.406661,3.627508,1.647323,1.554703,-0.936381,-1.109862,5.303523
0.020000,1.423534,3.601849,1.678033,1.535523,-0.959010,-1.131455,5.284605
0.020000,1.439710,3.576207,1.708351,1.515878,-0.982276,-1.163324,5.265679
0.020000,1.455189,3.550608,1.738266,1.495760,-1.005880,-1.180191,5.246775
0.020000,1.469976,3.525078,1.767769,1.475167,-1.029634,-1.187684,5.227920
0.020000,1.484075,3.499642,1.796851,1.454100,-1.053347,-1.185634,5.209143
0.020000,1.497494,3.474328,1.825502,1.432561,-1.076943,-1.179819,5.190470
0.020000,1.510241,3.449160,1.853714,1.410562,-1.099990,-1.152375,5.171929
0.020000,1.522326,3.424166,1.881476,1.388111,-1.122536,-1.127266,5.153547
0.020000,1.533760,3.399371,1.908780,1.365222,-1.144429,-1.094684,5.135348
0.020000,1.544555,3.374800,1.935619,1.341917,-1.165289,-1.042982,5.117359
0.020000,1.554727,3.350477,1.961983,1.318213,-1.185197,-0.995392,5.099602
0.020000,1.564291,3.326426,1.987866,1.294133,-1.203997,-0.940018,5.082100
0.020000,1.573263,3.302669,2.013260,1.269702,-1.221513,-0.875779,5.064872
0.020000,1.581660,3.279229,2.038159,1.244947,-1.237749,-0.811796,5.047938
0.020000,1.589503,3.256126,2.062557,1.219895,-1.252633,-0.744222,5.031316
0.020000,1.596809,3.233379,2.086448,1.194572,-1.266144,-0.675547,5.015022
0.020000,1.603598,3.211007,2.109828,1.169008,-1.278207,-0.603165,4.999069
0.020000,1.609893,3.189026,2.132693,1.143229,-1.288941,-0.536691,4.983471
0.020000,1.615712,3.167451,2.155038,1.117264,-1.298237,-0.464764,4.968237
0.020000,1.621077,3.146299,2.176861,1.091139,-1.306286,-0.402473,4.953379
0.020000,1.626011,3.125580,2.198158,1.064879,-1.312973,-0.334359,4.938903
