dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,4.000000,0.000198,0.019756,0.987824,49.391188,6.280626
0.020000,0.000000,4.000000,0.000790,0.039513,0.987824,0.000000,6.280356
0.020000,0.000649,3.999998,0.001778,0.059269,0.987824,0.000000,6.279907
0.020000,0.002032,3.999993,0.003161,0.079026,0.987824,0.000000,6.279276
0.020000,0.003810,3.999985,0.004939,0.098782,0.987824,0.000000,6.278464
0.020000,0.005983,3.999974,0.007112,0.118539,0.987824,0.000000,6.277469
0.020000,0.008552,3.999958,0.009681,0.138295,0.987824,0.000000,6.276289
0.020000,0.011515,3.999935,0.012644,0.158052,0.987824,-0.000000,6.274922
0.020000,0.014873,3.999905,0.016003,0.177808,0.987824,0.000000,6.273366
0.020000,0.018627,3.999865,0.019756,0.197565,0.987824,-0.000000,6.271619
0.020000,0.022775,3.999813,0.023905,0.217321,0.987824,0.000000,6.269678
0.020000,0.027319,3.999747,0.028449,0.237078,0.987824,-0.000000,6.267540
0.020000,0.032257,3.999664,0.033388,0.256834,0.987824,0.000000,6.265201
0.020000,0.037591,3.999561,0.038723,0.276591,0.987824,0.000000,6.262657
0.020000,0.043319,3.999435,0.044452,0.296347,0.987824,-0.000000,6.259905
0.020000,0.049441,3.999284,0.050577,0.316104,0.987824,0.000000,6.256940
0.020000,0.055958,3.999102,0.057096,0.335860,0.987824,0.000000,6.253757
0.020000,0.062870,3.998887,0.064011,0.355617,0.987824,-0.000000,6.250351
0.020000,0.070175,3.998634,0.071321,0.375373,0.987824,0.000000,6.246717
0.020000,0.077875,3.998338,0.079026,0.395130,0.987824,0.000000,6.242848
0.020000,0.085968,3.997995,0.087126,0.414886,0.987824,0.000000,6.238739
0.020000,0.094454,3.997599,0.095621,0.434642,0.987824,-0.000000,6.234383
0.020000,0.103332,3.997145,0.104512,0.454399,0.987824,0.000000,6.229772
0.020000,0.112603,3.996627,0.113797,0.474155,0.987824,0.000000,6.224900
0.020000,0.122266,3.996038,0.123478,0.493912,0.987824,0.000000,6.219758
0.020000,0.132320,3.995372,0.133554,0.513668,0.987824,-0.000000,6.214339
0.020000,0.142764,3.994622,0.144025,0.533425,0.987824,0.000000,6.208634
0.020000,0.153597,3.993780,0.154891,0.553181,0.987824,0.000000,6.202633
0.020000,0.164819,3.992839,0.166152,0.572938,0.987824,-0.000000,6.196327
0.020000,0.176428,3.991789,0.177808,0.592694,0.987824,0.000000,6.189707
0.020000,0.188423,3.990623,0.189860,0.612451,0.987824,0.000000,6.182762
0.020000,0.200802,3.989330,0.202306,0.632207,0.987824,-0.000000,6.175481
0.020000,0.213564,3.987901,0.215148,0.651964,0.987824,0.000000,6.167854
0.020000,0.226707,3.986325,0.228385,0.671720,0.987824,0.000000,6.159868
0.020000,0.240228,3.984592,0.242017,0.691477,0.987824,-0.000000,6.151513
0.020000,0.254126,3.982690,0.256044,0.711233,0.987824,0.000000,6.142775
0.020000,0.268396,3.980607,0.270466,0.730990,0.987824,0.000000,6.133643
0.020000,0.283038,3.978329,0.285284,0.750746,0.987824,-0.000000,6.124104
0.020000,0.298046,3.975845,0.300496,0.770503,0.987824,0.000000,6.114145
