dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000870,3.660001,0.000198,0.019756,0.987824,49.391188,6.280626
0.020000,-0.000962,3.660001,0.000289,0.004581,-0.758767,-87.329542,6.280356
0.020000,-0.000466,3.660000,0.000785,0.024812,1.011520,88.514333,6.279907
0.020000,0.000703,3.659996,0.001954,0.058431,1.680953,33.471664,6.279276
0.020000,0.002205,3.659989,0.003456,0.075096,0.833295,-42.382912,6.278464
0.020000,0.004040,3.659980,0.005291,0.091739,0.832126,-0.058412,6.277469
0.020000,0.006207,3.659966,0.007458,0.108355,0.830805,-0.066053,6.276289
0.020000,0.008705,3.659947,0.009957,0.124938,0.829156,-0.082488,6.274922
0.020000,0.011535,3.659921,0.012786,0.141485,0.827331,-0.091215,6.273366
0.020000,0.014695,3.659888,0.015946,0.157989,0.825215,-0.105820,6.271619
0.020000,0.018183,3.659844,0.019435,0.174444,0.822761,-0.122714,6.269678
0.020000,0.022000,3.659788,0.023252,0.190848,0.820171,-0.129505,6.267540
0.020000,0.026143,3.659719,0.027396,0.207192,0.817222,-0.147431,6.265201
0.020000,0.030612,3.659632,0.031865,0.223472,0.814010,-0.160599,6.262657
0.020000,0.035404,3.659528,0.036659,0.239683,0.810527,-0.174164,6.259905
0.020000,0.040519,3.659401,0.041775,0.255817,0.806698,-0.191439,6.256940
0.020000,0.045954,3.659250,0.047213,0.271872,0.802772,-0.196282,6.253757
0.020000,0.051708,3.659070,0.052969,0.287837,0.798254,-0.225919,6.250351
0.020000,0.057779,3.658860,0.059044,0.303712,0.793732,-0.226096,6.246717
0.020000,0.064164,3.658615,0.065433,0.319484,0.788603,-0.256425,6.242848
0.020000,0.070861,3.658331,0.072136,0.335151,0.783338,-0.263247,6.238739
0.020000,0.077867,3.658004,0.079150,0.350706,0.777746,-0.279635,6.234383
0.020000,0.085181,3.657630,0.086473,0.366141,0.771749,-0.299833,6.229772
0.020000,0.092798,3.657204,0.094102,0.381450,0.765445,-0.315224,6.224900
0.020000,0.100715,3.656721,0.102035,0.396627,0.758852,-0.329637,6.219758
0.020000,0.108931,3.656177,0.110268,0.411663,0.751810,-0.352110,6.214339
0.020000,0.117440,3.655566,0.118799,0.426553,0.744481,-0.366440,6.208634
0.020000,0.126239,3.654883,0.127625,0.441289,0.736803,-0.383871,6.202633
0.020000,0.135325,3.654120,0.136742,0.455865,0.728819,-0.399247,6.196327
0.020000,0.144692,3.653274,0.146148,0.470271,0.720309,-0.425483,6.189707
0.020000,0.154336,3.652336,0.155838,0.484504,0.711653,-0.432810,6.182762
0.020000,0.164254,3.651300,0.165809,0.498556,0.702580,-0.453644,6.175481
0.020000,0.174438,3.650160,0.176057,0.512417,0.693081,-0.474937,6.167854
0.020000,0.184885,3.648907,0.186579,0.526086,0.683445,-0.481784,6.159868
0.020000,0.195589,3.647535,0.197370,0.539553,0.673343,-0.505095,6.151513
0.020000,0.206543,3.646036,0.208426,0.552815,0.663091,-0.512608,6.142775
0.020000,0.217741,3.644401,0.219744,0.565865,0.652513,-0.528899,6.133643
0.020000,0.229178,3.642623,0.231318,0.578701,0.641775,-0.536932,6.124104
0.020000,0.240846,3.640691,0.243144,0.591318,0.630846,-0.546439,6.114145
