dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0.000006,4.325,0.000008,0.000772,0.038603,1.930153,0
0.02,0.000006,4.325,0.000008,0.000002,-0.038486,-3.854428,0
0.02,0.000006,4.325,0.000008,0.000005,0.000147,1.931622,0
0.02,0.000006,4.325,0.000008,0.000009,0.000206,0.002938,0
0.02,0.000005,4.325,0.000008,0.000015,0.000264,0.002936,0
0.02,0.000005,4.325,0.000009,0.000021,0.000323,0.002934,0
0.02,0.000004,4.325,0.000009,0.000029,0.000382,0.002931,0
0.02,0.000004,4.325,0.00001,0.000038,0.00044,0.002926,0
0.02,0.000003,4.325,0.000011,0.000048,0.000499,0.002919,0
0.02,0.000001,4.325,0.000012,0.000059,0.000557,0.002911,0
0.02,0,4.325,0.000014,0.000071,0.000615,0.0029,0
0.02,0.001081,4.325,0.001095,0.054069,2.699883,134.963417,0
0.02,0.002384,4.325,0.002398,0.06514,0.553573,-107.315524,0
0.02,0.003895,4.325,0.003909,0.075547,0.520354,-1.660931,0
0.02,0.00563,4.325,0.005643,0.086725,0.558901,1.92733,0
0.02,0.007603,4.325,0.007617,0.098674,0.597447,1.927332,0
0.02,0.009831,4.325,0.009845,0.111394,0.635995,1.927382,0
0.02,0.012329,4.325,0.012342,0.124885,0.674543,1.927393,0
0.02,0.015104,4.325001,0.015118,0.138761,0.693819,0.963823,0
0.02,0.018157,4.325001,0.01817,0.152638,0.693824,0.000223,0
0.02,0.021487,4.325001,0.021501,0.166514,0.693829,0.000244,0
0.02,0.025095,4.325001,0.025108,0.180391,0.693834,0.000269,0
0.02,0.02898,4.325002,0.028994,0.194268,0.69384,0.000291,0
0.02,0.033143,4.325003,0.033157,0.208145,0.693846,0.000313,0
0.02,0.037584,4.325003,0.037597,0.222022,0.693853,0.000335,0
0.02,0.042301,4.325004,0.042315,0.235899,0.69386,0.000357,0
0.02,0.047297,4.325005,0.047311,0.249776,0.693868,0.00038,0
0.02,0.05257,4.325006,0.052584,0.263654,0.693876,0.000408,0
0.02,0.058121,4.325008,0.058134,0.277532,0.693884,0.000417,0
0.02,0.063949,4.325009,0.063963,0.291409,0.693893,0.000452,0
0.02,0.070055,4.325011,0.070068,0.305287,0.693902,0.000467,0
0.02,0.076438,4.325014,0.076452,0.319166,0.693912,0.000495,0
0.02,0.083099,4.325016,0.083112,0.333044,0.693923,0.00051,0
0.02,0.090037,4.325019,0.090051,0.346923,0.693933,0.000541,0
0.02,0.097253,4.325022,0.097267,0.360802,0.693945,0.00056,0
0.02,0.104747,4.325025,0.104761,0.374681,0.693956,0.000579,0
0.02,0.112518,4.325029,0.112532,0.38856,0.693968,0.000605,0
0.02,0.120567,4.325033,0.120581,0.40244,0.693981,0.000627,0
0.02,0.128893,4.325038,0.128907,0.41632,0.693994,0.000649,0
0.02,0.137497,4.325043,0.137511,0.4302,0.694007,0.000671,0
0.02,0.146379,4.325049,0.146393,0.44408,0.694021,0.000698,0
0.02,0.155538,4.325055,0.155552,0.457961,0.694035,0.000711,0
0.02,0.164975,4.325062,0.164989,0.471842,0.69405,0.000737,0
0.02,0.174689,4.325069,0.174703,0.485723,0.694065,0.000768,0
0.02,0.184682,4.325077,0.184695,0.499605,0.694081,0.000774,0
0.02,0.194951,4.325086,0.194965,0.513487,0.694097,0.000814,0
0.02,0.205499,4.325095,0.205512,0.527369,0.694114,0.000821,0
0.02,0.216324,4.325106,0.216337,0.541252,0.694131,0.000851,0
0.02,0.227426,4.325116,0.22744,0.555135,0.694148,0.000876,0
0.02,0.238807,4.325128,0.23882,0.569018,0.694166,0.000893,0
0.02,0.250465,4.325141,0.250478,0.582902,0.694184,0.000917,0
0.02,0.2624,4.325154,0.262414,0.596786,0.694203,0.00094,0
0.02,0.274614,4.325168,0.274628,0.61067,0.694222,0.000962,0
0.02,0.287105,4.325184,0.287119,0.624555,0.694242,0.000985,0
0.02,0.299874,4.3252,0.299887,0.63844,0.694262,0.001008,0
0.02,0.31292,4.325217,0.312934,0.652326,0.694283,0.001027,0
0.02,0.326244,4.325235,0.326258,0.666212,0.694304,0.001051,0
0.02,0.339846,4.325255,0.33986,0.680099,0.694325,0.001078,0
0.02,0.353726,4.325275,0.35374,0.693985,0.694347,0.001091,0
0.02,0.367884,4.325297,0.367897,0.707873,0.69437,0.001124,0
0.02,0.382319,4.32532,0.382333,0.721761,0.694392,0.001137,0
0.02,0.397032,4.325344,0.397046,0.735649,0.694416,0.001164,0
0.02,0.412022,4.32537,0.412036,0.749538,0.694439,0.001188,0
0.02,0.427291,4.325396,0.427305,0.763427,0.694464,0.001206,0
0.02,0.442837,4.325425,0.442851,0.777317,0.694488,0.001231,0
0.02,0.458661,4.325454,0.458675,0.791207,0.694513,0.001253,0
0.02,0.474763,4.325485,0.474777,0.805098,0.694539,0.001275,0
0.02,0.491143,4.325518,0.491157,0.818989,0.694565,0.001298,0
0.02,0.507801,4.325552,0.507815,0.832881,0.694591,0.001321,0
0.02,0.524736,4.325587,0.52475,0.846773,0.694618,0.001341,0
0.02,0.541949,4.325624,0.541963,0.860666,0.694645,0.001364,0
0.02,0.559441,4.325663,0.559455,0.87456,0.694673,0.001389,0
0.02,0.57721,4.325704,0.577224,0.888454,0.694701,0.001408,0
0.02,0.595256,4.325746,0.595271,0.902348,0.69473,0.001433,0
0.02,0.613581,4.32579,0.613596,0.916244,0.694759,0.001453,0
0.02,0.632184,4.325835,0.632198,0.930139,0.694788,0.001478,0
0.02,0.651065,4.325883,0.651079,0.944036,0.694818,0.001499,0
0.02,0.670223,4.325932,0.670238,0.957933,0.694849,0.001521,0
0.02,0.68966,4.325983,0.689674,0.97183,0.69488,0.001544,0
0.02,0.709374,4.326036,0.709389,0.985728,0.694911,0.001566,0
0.02,0.729367,4.326091,0.729381,0.999627,0.694943,0.001589,0
0.02,0.749637,4.326148,0.749652,1.013527,0.694975,0.001611,0
0.02,0.770186,4.326207,0.770201,1.027427,0.695008,0.001633,0
0.02,0.791012,4.326268,0.791027,1.041328,0.695041,0.001656,0
0.02,0.812117,4.326331,0.812132,1.055229,0.695074,0.001678,0
0.02,0.833499,4.326396,0.833514,1.069131,0.695108,0.0017,0
0.02,0.85516,4.326464,0.855175,1.083034,0.695143,0.001723,0
0.02,0.877098,4.326533,0.877114,1.096938,0.695178,0.001745,0
0.02,0.899315,4.326604,0.899331,1.110842,0.695213,0.001767,0
0.02,0.92181,4.326678,0.921826,1.124747,0.695249,0.00179,0
0.02,0.944583,4.326754,0.944599,1.138653,0.695285,0.001812,0
0.02,0.967634,4.326832,0.96765,1.152559,0.695322,0.001835,0
0.02,0.990963,4.326912,0.990979,1.166466,0.695359,0.001857,0
0.02,1.01457,4.326995,1.014587,1.180374,0.695397,0.001879,0
0.02,1.038456,4.32708,1.038472,1.194283,0.695435,0.001902,0
0.02,1.06262,4.327167,1.062636,1.208192,0.695473,0.001924,0
0.02,1.087062,4.327256,1.087078,1.222103,0.695512,0.001947,0
0.02,1.111782,4.327348,1.111798,1.236014,0.695551,0.001969,0
0.02,1.13678,4.327442,1.136797,1.249926,0.695591,0.001991,0
0.02,1.162057,4.327538,1.162074,1.263838,0.695631,0.002014,0
0.02,1.187611,4.327636,1.187629,1.277752,0.695672,0.002036,0
0.02,1.213445,4.327737,1.213462,1.291666,0.695713,0.002058,0
0.02,1.239556,4.32784,1.239574,1.305581,0.695755,0.002081,0
0.02,1.265946,4.327946,1.265964,1.319497,0.695797,0.002103,0
