dt,x,y,position,velocity,acceleration,jerk,heading
0.02,-0.000006,3.675,0.000008,0.000772,0.038603,1.930153,0
0.02,-0.000006,3.675,0.000008,0.000002,-0.038486,-3.854428,0
0.02,-0.000006,3.675,0.000008,0.000005,0.000147,1.931622,0
0.02,-0.000006,3.675,0.000008,0.000009,0.000206,0.002938,0
0.02,-0.000005,3.675,0.000008,0.000015,0.000264,0.002936,0
0.02,-0.000005,3.675,0.000009,0.000021,0.000323,0.002934,0
0.02,-0.000004,3.675,0.000009,0.000029,0.000382,0.002931,0
0.02,-0.000004,3.675,0.00001,0.000038,0.00044,0.002926,0
0.02,-0.000003,3.675,0.000011,0.000048,0.000499,0.002919,0
0.02,-0.000001,3.675,0.000012,0.000059,0.000557,0.002911,0
0.02,0,3.675,0.000014,0.000071,0.000615,0.0029,0
0.02,0.001085,3.675,0.001098,0.054238,2.708328,135.385667,0
0.02,0.002391,3.675,0.002405,0.065338,0.555033,-107.664771,0
0.02,0.003907,3.675,0.003921,0.075777,0.521928,-1.655222,0
0.02,0.005647,3.675,0.00566,0.086989,0.560588,1.932996,0
0.02,0.007626,3.675,0.00764,0.098973,0.599247,1.93295,0
0.02,0.009861,3.675,0.009875,0.111732,0.637906,1.932945,0
0.02,0.012366,3.675,0.01238,0.125263,0.676564,1.932893,0
0.02,0.01515,3.675001,0.015163,0.139181,0.695891,0.966342,0
0.02,0.018212,3.675001,0.018225,0.153098,0.695886,-0.000224,0
0.02,0.021552,3.675001,0.021566,0.167016,0.695881,-0.000249,0
0.02,0.025171,3.675001,0.025184,0.180934,0.695876,-0.000268,0
0.02,0.029068,3.675002,0.029081,0.194851,0.69587,-0.00029,0
0.02,0.033243,3.675003,0.033257,0.208768,0.695864,-0.000313,0
0.02,0.037697,3.675003,0.037711,0.222685,0.695857,-0.000336,0
0.02,0.042429,3.675004,0.042443,0.236602,0.69585,-0.000359,0
0.02,0.047439,3.675005,0.047453,0.250519,0.695842,-0.00038,0
0.02,0.052728,3.675006,0.052742,0.264436,0.695835,-0.000397,0
0.02,0.058295,3.675008,0.058309,0.278352,0.695826,-0.000433,0
0.02,0.06414,3.675009,0.064154,0.292269,0.695817,-0.000443,0
0.02,0.070264,3.675011,0.070278,0.306185,0.695808,-0.000472,0
0.02,0.076666,3.675014,0.07668,0.320101,0.695798,-0.000489,0
0.02,0.083346,3.675016,0.08336,0.334017,0.695787,-0.000519,0
0.02,0.090305,3.675019,0.090319,0.347932,0.695777,-0.000533,0
0.02,0.097542,3.675022,0.097556,0.361848,0.695766,-0.000558,0
0.02,0.105057,3.675025,0.105071,0.375763,0.695754,-0.000584,0
0.02,0.112851,3.675029,0.112865,0.389677,0.695742,-0.000604,0
0.02,0.120923,3.675033,0.120936,0.403592,0.695729,-0.000626,0
0.02,0.129273,3.675038,0.129286,0.417506,0.695716,-0.000649,0
0.02,0.137901,3.675043,0.137915,0.43142,0.695703,-0.000672,0
0.02,0.146808,3.675049,0.146822,0.445334,0.695689,-0.000689,0
0.02,0.155993,3.675055,0.156007,0.459248,0.695675,-0.000721,0
0.02,0.165456,3.675062,0.16547,0.473161,0.69566,-0.00074,0
0.02,0.175198,3.67507,0.175211,0.487074,0.695645,-0.000753,0
0.02,0.185217,3.675078,0.185231,0.500986,0.695629,-0.000792,0
0.02,0.195515,3.675086,0.195529,0.514899,0.695613,-0.000796,0
0.02,0.206091,3.675096,0.206105,0.528811,0.695596,-0.000835,0
0.02,0.216946,3.675106,0.21696,0.542722,0.695579,-0.000849,0
0.02,0.228079,3.675117,0.228092,0.556633,0.695562,-0.000869,0
0.02,0.239489,3.675128,0.239503,0.570544,0.695544,-0.000897,0
0.02,0.251178,3.675141,0.251192,0.584455,0.695526,-0.000918,0
0.02,0.263146,3.675154,0.26316,0.598365,0.695507,-0.00094,0
0.02,0.275391,3.675169,0.275405,0.612275,0.695488,-0.000962,0
0.02,0.287915,3.675184,0.287929,0.626184,0.695468,-0.000984,0
0.02,0.300717,3.6752,0.300731,0.640093,0.695448,-0.001006,0
0.02,0.313797,3.675218,0.313811,0.654002,0.695427,-0.001032,0
0.02,0.327155,3.675236,0.327169,0.66791,0.695406,-0.001052,0
0.02,0.340791,3.675255,0.340805,0.681817,0.695385,-0.00107,0
0.02,0.354706,3.675276,0.35472,0.695725,0.695363,-0.001102,0
0.02,0.368898,3.675298,0.368912,0.709631,0.695341,-0.001113,0
0.02,0.383369,3.675321,0.383383,0.723538,0.695318,-0.001145,0
0.02,0.398118,3.675345,0.398132,0.737444,0.695294,-0.001163,0
0.02,0.413145,3.675371,0.413159,0.751349,0.695271,-0.001184,0
0.02,0.42845,3.675397,0.428464,0.765254,0.695246,-0.00121,0
0.02,0.444033,3.675426,0.444047,0.779158,0.695222,-0.001231,0
0.02,0.459894,3.675455,0.459908,0.793062,0.695197,-0.001253,0
0.02,0.476034,3.675486,0.476048,0.806966,0.695171,-0.001275,0
0.02,0.492451,3.675519,0.492465,0.820869,0.695145,-0.001298,0
0.02,0.509146,3.675553,0.50916,0.834771,0.695119,-0.001319,0
0.02,0.52612,3.675589,0.526134,0.848673,0.695092,-0.001344,0
0.02,0.543371,3.675626,0.543385,0.862574,0.695065,-0.001365,0
0.02,0.560901,3.675665,0.560915,0.876475,0.695037,-0.001386,0
0.02,0.578708,3.675705,0.578722,0.890375,0.695009,-0.001411,0
0.02,0.596794,3.675748,0.596808,0.904275,0.69498,-0.001431,0
0.02,0.615157,3.675792,0.615171,0.918174,0.694951,-0.001455,0
0.02,0.633798,3.675837,0.633813,0.932072,0.694922,-0.001476,0
0.02,0.652718,3.675885,0.652732,0.94597,0.694892,-0.001499,0
0.02,0.671915,3.675934,0.67193,0.959867,0.694861,-0.001522,0
0.02,0.69139,3.675986,0.691405,0.973764,0.69483,-0.001544,0
0.02,0.711143,3.676039,0.711158,0.98766,0.694799,-0.001566,0
0.02,0.731174,3.676094,0.731189,1.001555,0.694767,-0.001589,0
0.02,0.751483,3.676151,0.751498,1.01545,0.694735,-0.001611,0
0.02,0.77207,3.67621,0.772085,1.029344,0.694702,-0.001633,0
0.02,0.792935,3.676271,0.79295,1.043237,0.694669,-0.001655,0
0.02,0.814077,3.676334,0.814092,1.05713,0.694636,-0.001678,0
0.02,0.835498,3.676399,0.835513,1.071022,0.694602,-0.0017,0
0.02,0.857196,3.676467,0.857211,1.084913,0.694567,-0.001723,0
0.02,0.879172,3.676536,0.879187,1.098804,0.694532,-0.001745,0
0.02,0.901426,3.676608,0.901441,1.112694,0.694497,-0.001768,0
0.02,0.923957,3.676682,0.923973,1.126583,0.694461,-0.00179,0
0.02,0.946766,3.676758,0.946782,1.140472,0.694425,-0.001812,0
0.02,0.969853,3.676836,0.969869,1.154359,0.694388,-0.001835,0
0.02,0.993218,3.676916,0.993234,1.168246,0.694351,-0.001857,0
0.02,1.016861,3.676999,1.016877,1.182133,0.694314,-0.001879,0
0.02,1.040781,3.677084,1.040797,1.196018,0.694275,-0.001902,0
0.02,1.064979,3.677171,1.064995,1.209903,0.694237,-0.001924,0
0.02,1.089454,3.677261,1.089471,1.223787,0.694198,-0.001946,0
0.02,1.114208,3.677352,1.114224,1.23767,0.694159,-0.001969,0
0.02,1.139239,3.677446,1.139256,1.251553,0.694119,-0.001992,0
0.02,1.164547,3.677543,1.164564,1.265434,0.694079,-0.002014,0
0.02,1.190133,3.677641,1.190151,1.279315,0.694038,-0.002035,0
0.02,1.215997,3.677742,1.216014,1.293195,0.693997,-0.002059,0
0.02,1.242138,3.677846,1.242156,1.307074,0.693955,-0.00208,0
0.02,1.268557,3.677951,1.268575,1.320952,0.693913,-0.002103,0
0.02,1.295253,3.678059,1.295272,1.33483,0.693871,-0.002126,0
0.02,1.322227,3.678169,1.322246,1.348706,0.693828,-0.002147,0
0.02,1.349479,3.678281,1.349497,1.362582,0.693784,-0.00217,0
0.02,1.377007,3.678396,1.377026,1.376457,0.69374,-0.002193,0
0.02,1.404814,3.678513,1.404833,1.390331,0.693696,-0.002215,0
0.02,1.432898,3.678632,1.432917,1.404204,0.693651,-0.002237,0
0.02,1.461259,3.678753,1.461279,1.418076,0.693606,-0.00226,0
0.02,1.48989,3.678877,1.48991,1.431561,0.674252,-0.967716,0
0.02,1.518775,3.679002,1.518795,1.444273,0.63559,-1.933063,0
0.02,1.547899,3.67913,1.547919,1.456211,0.596932,-1.932911,0
0.02,1.577246,3.679259,1.577267,1.467377,0.558277,-1.932756,0
0.02,1.606801,3.67939,1.606822,1.477769,0.519625,-1.932594,0
0.02,1.636549,3.679522,1.63657,1.487389,0.480977,-1.932433,0
0.02,1.666473,3.679656,1.666495,1.496235,0.442331,-1.932266,0
0.02,1.696559,3.679792,1.696581,1.504309,0.403689,-1.932098,0
0.02,1.726791,3.679929,1.726813,1.51161,0.365051,-1.931926,0
0.02,1.757153,3.680066,1.757176,1.518138,0.326416,-1.931753,0
0.02,1.787631,3.680205,1.787654,1.523894,0.287784,-1.931578,0
0.02,1.818208,3.680345,1.818231,1.528877,0.249156,-1.9314,0
0.02,1.84887,3.680485,1.848893,1.533088,0.210532,-1.931221,0
0.02,1.8796,3.680626,1.879624,1.536526,0.171911,-1.93104,0
0.02,1.910383,3.680768,1.910408,1.539192,0.133294,-1.930859,0
