Left Position,Right Position,Left Velocity,Right Velocity
2365.0,-5142.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
-1.0,1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0
-1.0,4.0,-1.0,2.0
-1.0,4.0,-1.0,2.0
-6.0,4.0,-3.0,2.0
-6.0,4.0,-3.0,2.0
-6.0,13.0,-3.0,6.0
-14.0,13.0,-5.0,6.0
-14.0,13.0,-5.0,6.0
-14.0,30.0,-5.0,12.0
-35.0,30.0,-15.0,12.0
-35.0,30.0,-15.0,12.0
-35.0,30.0,-15.0,12.0
-35.0,67.0,-15.0,26.0
-35.0,67.0,-15.0,26.0
-73.0,67.0,-26.0,26.0
-73.0,67.0,-26.0,26.0
-73.0,67.0,-26.0,26.0
-73.0,143.0,-26.0,53.0
-73.0,143.0,-26.0,53.0
-151.0,143.0,-53.0,53.0
-151.0,143.0,-53.0,53.0
-151.0,261.0,-53.0,79.0
-151.0,261.0,-53.0,79.0
-258.0,261.0,-71.0,79.0
-258.0,261.0,-71.0,79.0
-258.0,261.0,-71.0,100.0
-258.0,417.0,-71.0,100.0
-258.0,417.0,-71.0,100.0
-399.0,417.0,-91.0,100.0
-399.0,417.0,-91.0,100.0
-399.0,607.0,-91.0,121.0
-560.0,607.0,-103.0,121.0
-560.0,607.0,-103.0,121.0
-560.0,814.0,-103.0,131.0
-733.0,814.0,-111.0,131.0
-733.0,814.0,-111.0,131.0
-733.0,1044.0,-111.0,144.0
-733.0,1044.0,-111.0,144.0
-920.0,1044.0,-118.0,144.0
-920.0,1044.0,-118.0,144.0
-920.0,1044.0,-118.0,144.0
-920.0,1285.0,-118.0,154.0
-1117.0,1285.0,-127.0,154.0
-1117.0,1285.0,-127.0,154.0
-1117.0,1537.0,-127.0,158.0
-1311.0,1537.0,-121.0,158.0
-1311.0,1537.0,-121.0,158.0
-1311.0,1537.0,-121.0,158.0
-1311.0,1807.0,-121.0,170.0
-1311.0,1807.0,-121.0,170.0
-1514.0,1807.0,-128.0,170.0
-1514.0,1807.0,-128.0,170.0
-1514.0,1807.0,-128.0,170.0
-1514.0,2097.0,-128.0,183.0
-1514.0,2097.0,-128.0,183.0
-1718.0,2097.0,-127.0,183.0
-1718.0,2097.0,-127.0,183.0
-1718.0,2397.0,-127.0,187.0
-1718.0,2397.0,-127.0,187.0
-1922.0,2397.0,-128.0,187.0
-1922.0,2397.0,-128.0,173.0
-1922.0,2677.0,-128.0,173.0
-2134.0,2677.0,-134.0,173.0
-2134.0,2677.0,-134.0,173.0
-2134.0,2677.0,-134.0,173.0
-2134.0,2973.0,-134.0,185.0
-2134.0,2973.0,-134.0,185.0
-2365.0,2973.0,-146.0,185.0
-2365.0,2973.0,-146.0,185.0
-2365.0,2973.0,-146.0,185.0
-2365.0,3288.0,-146.0,200.0
-2365.0,3288.0,-146.0,200.0
-2636.0,3288.0,-173.0,200.0
-2636.0,3288.0,-173.0,200.0
-2636.0,3597.0,-173.0,190.0
-2915.0,3597.0,-175.0,190.0
-2915.0,3597.0,-175.0,190.0
-2915.0,3917.0,-175.0,204.0
-2915.0,3917.0,-175.0,204.0
-3212.0,3917.0,-187.0,204.0
-3212.0,3917.0,-187.0,204.0
-3212.0,3917.0,-187.0,204.0
-3212.0,4249.0,-187.0,209.0
-3212.0,4249.0,-187.0,209.0
-3540.0,4249.0,-206.0,209.0
-3540.0,4249.0,-206.0,209.0
-3540.0,4586.0,-206.0,209.0
-3540.0,4586.0,-206.0,209.0
-3900.0,4586.0,-231.0,209.0
-3900.0,4586.0,-231.0,209.0
-3900.0,4923.0,-231.0,213.0
-3900.0,4923.0,-231.0,213.0
-4289.0,4923.0,-246.0,213.0
-4289.0,4923.0,-246.0,213.0
-4289.0,5283.0,-246.0,227.0
-4289.0,5283.0,-246.0,227.0
-4289.0,5283.0,-246.0,227.0
-4707.0,5283.0,-268.0,227.0
-4707.0,5283.0,-268.0,227.0
-4707.0,5631.0,-268.0,213.0
-4707.0,5631.0,-268.0,213.0
-5141.0,5631.0,-270.0,213.0
-5141.0,5631.0,-270.0,213.0
-5141.0,5952.0,-270.0,198.0
-5141.0,5952.0,-270.0,198.0
-5580.0,5952.0,-275.0,198.0
-5580.0,5952.0,-275.0,198.0
-5580.0,5952.0,-275.0,198.0
-5580.0,6248.0,-275.0,183.0
-5580.0,6248.0,-275.0,183.0
-5989.0,6248.0,-251.0,183.0
-5989.0,6248.0,-251.0,183.0
-5989.0,6248.0,-251.0,183.0
-5989.0,6524.0,-229.0,164.0
-6361.0,6524.0,-229.0,164.0
-6361.0,6524.0,-229.0,164.0
-6361.0,6748.0,-229.0,132.0
-6361.0,6748.0,-229.0,132.0
-6672.0,6748.0,-187.0,132.0
-6672.0,6748.0,-187.0,132.0
-6672.0,6748.0,-187.0,132.0
-6672.0,6945.0,-187.0,127.0
-6672.0,6945.0,-187.0,127.0
-6924.0,6945.0,-152.0,127.0
-6924.0,6945.0,-152.0,127.0
-6924.0,6945.0,-152.0,127.0
-6924.0,7125.0,-152.0,112.0
-6924.0,7125.0,-152.0,112.0
-6924.0,7125.0,-152.0,112.0
-7104.0,7125.0,-105.0,112.0
-7104.0,7125.0,-105.0,112.0
-7104.0,7266.0,-105.0,83.0
-7104.0,7266.0,-105.0,83.0
-7261.0,7266.0,-99.0,83.0
-7261.0,7266.0,-99.0,83.0
-7261.0,7266.0,-99.0,83.0
-7261.0,7266.0,-99.0,67.0
-7261.0,7380.0,-99.0,67.0
-7261.0,7380.0,-99.0,67.0
-7399.0,7380.0,-84.0,67.0
-7399.0,7380.0,-84.0,67.0
-7399.0,7380.0,-84.0,67.0
-7399.0,7474.0,-84.0,57.0
-7399.0,7474.0,-84.0,57.0
-7534.0,7474.0,-84.0,57.0
-7534.0,7474.0,-84.0,57.0
-7534.0,7474.0,-84.0,57.0
-7534.0,7575.0,-84.0,65.0
-7534.0,7575.0,-84.0,65.0
-7670.0,7575.0,-87.0,65.0
-7670.0,7575.0,-87.0,65.0
