dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000681,4.324999,0.000001,0.000200,0.019995,1.999474,6.281088
0.010000,0.000681,4.324999,0.000002,0.000089,-0.011133,-3.112765,6.281091
0.010000,0.000679,4.324999,0.000004,0.000199,0.011077,2.221021,6.281097
0.010000,0.000675,4.324999,0.000007,0.000354,0.015508,0.443094,6.281108
0.010000,0.000670,4.324999,0.000013,0.000554,0.019939,0.443096,6.281125
0.010000,0.000662,4.324999,0.000021,0.000798,0.024370,0.443101,6.281150
0.010000,0.000651,4.324999,0.000032,0.001086,0.028801,0.443107,6.281183
0.010000,0.000637,4.324999,0.000046,0.001418,0.033232,0.443116,6.281227
0.010000,0.000619,4.324999,0.000064,0.001795,0.037664,0.443127,6.281282
0.010000,0.000596,4.324999,0.000086,0.002215,0.042095,0.443142,6.281350
0.010000,0.000570,4.325000,0.000113,0.002681,0.046527,0.443160,6.281433
0.010000,0.000538,4.325000,0.000145,0.003190,0.050959,0.443182,6.281531
0.010000,0.000500,4.325000,0.000182,0.003744,0.055391,0.443208,6.281646
0.010000,0.000457,4.325000,0.000226,0.004342,0.059823,0.443239,6.281780
0.010000,0.000407,4.325000,0.000276,0.004985,0.064256,0.443274,6.281933
0.010000,0.000350,4.325000,0.000332,0.005672,0.068689,0.443313,6.282108
0.010000,0.000286,4.325000,0.000396,0.006403,0.073122,0.443358,6.282305
0.010000,0.000214,4.325000,0.000468,0.007179,0.077557,0.443406,6.282525
0.010000,0.000134,4.325000,0.000548,0.007999,0.081991,0.443460,6.282772
0.010000,0.000046,4.325000,0.000637,0.008863,0.086426,0.443517,6.283044
0.010000,0.000182,4.325000,0.000773,0.013650,0.478679,39.225285,0.000160
0.010000,0.000559,4.325000,0.001150,0.037674,2.402446,192.376686,0.000490
0.010000,0.000971,4.325000,0.001562,0.041168,0.349376,-205.307044,0.000851
0.010000,0.001419,4.325001,0.002010,0.044815,0.364696,1.532043,0.001244
0.010000,0.001905,4.325002,0.002496,0.048615,0.379980,1.528420,0.001670
0.010000,0.002430,4.325003,0.003021,0.052493,0.387824,0.784340,0.002131
0.010000,0.002994,4.325004,0.003585,0.056417,0.392389,0.456492,0.002626
0.010000,0.003597,4.325006,0.004188,0.060288,0.387142,-0.524663,0.003155
0.010000,0.004239,4.325008,0.004829,0.064156,0.386759,-0.038277,0.003718
0.010000,0.004919,4.325011,0.005510,0.068033,0.387715,0.095571,0.004316
0.010000,0.005638,4.325014,0.006229,0.071950,0.391726,0.401136,0.004948
0.010000,0.006396,4.325018,0.006987,0.075809,0.385855,-0.587131,0.005615
0.010000,0.007193,4.325023,0.007784,0.079665,0.385624,-0.023041,0.006316
0.010000,0.008029,4.325028,0.008620,0.083594,0.392920,0.729539,0.007051
0.010000,0.008903,4.325035,0.009494,0.087442,0.384745,-0.817473,0.007821
0.010000,0.009816,4.325042,0.010407,0.091310,0.386814,0.206926,0.008626
0.010000,0.010769,4.325051,0.011360,0.095214,0.390415,0.360068,0.009465
0.010000,0.011759,4.325061,0.012350,0.099048,0.383439,-0.697590,0.010339
0.010000,0.012789,4.325072,0.013380,0.102961,0.391232,0.779329,0.011247
0.010000,0.013857,4.325084,0.014448,0.106803,0.384283,-0.694946,0.012190
0.010000,0.014963,4.325098,0.015555,0.110687,0.388326,0.404280,0.013168
0.010000,0.016109,4.325114,0.016700,0.114547,0.386069,-0.225709,0.014181
0.010000,0.017293,4.325131,0.017884,0.118416,0.386890,0.082113,0.015228
0.010000,0.018515,4.325151,0.019107,0.122279,0.386217,-0.067278,0.016311
0.010000,0.019777,4.325172,0.020368,0.126148,0.386902,0.068515,0.017428
0.010000,0.021076,4.325195,0.021668,0.129995,0.384758,-0.214395,0.018580
0.010000,0.022415,4.325221,0.023007,0.133879,0.388340,0.358193,0.019768
0.010000,0.023792,4.325249,0.024384,0.137696,0.381774,-0.656646,0.020990
0.010000,0.025207,4.325280,0.025800,0.141607,0.391081,0.930680,0.022248
0.010000,0.026661,4.325313,0.027255,0.145428,0.382060,-0.902023,0.023541
0.010000,0.028154,4.325349,0.028747,0.149284,0.385671,0.361084,0.024869
0.010000,0.029685,4.325388,0.030279,0.153155,0.387024,0.135307,0.026232
0.010000,0.031254,4.325431,0.031849,0.156979,0.382438,-0.458647,0.027631
0.010000,0.032862,4.325476,0.033457,0.160839,0.385996,0.355871,0.029065
0.010000,0.034508,4.325525,0.035104,0.164700,0.386127,0.013040,0.030534
0.010000,0.036192,4.325578,0.036789,0.168527,0.382670,-0.345653,0.032039
0.010000,0.037915,4.325634,0.038513,0.172355,0.382857,0.018625,0.033579
0.010000,0.039676,4.325695,0.040275,0.176239,0.388350,0.549297,0.035155
0.010000,0.041476,4.325760,0.042076,0.180066,0.382746,-0.560392,0.036767
0.010000,0.043313,4.325829,0.043915,0.183895,0.382853,0.010751,0.038414
0.010000,0.045189,4.325903,0.045792,0.187725,0.382959,0.010586,0.040097
0.010000,0.047103,4.325981,0.047708,0.191570,0.384571,0.161252,0.041816
0.010000,0.049056,4.326064,0.049662,0.195420,0.384988,0.041618,0.043571
0.010000,0.051046,4.326153,0.051655,0.199248,0.382758,-0.222983,0.045361
0.010000,0.053075,4.326247,0.053685,0.203076,0.382797,0.003892,0.047188
0.010000,0.055142,4.326346,0.055754,0.206904,0.382820,0.002284,0.049050
0.010000,0.057246,4.326452,0.057862,0.210732,0.382827,0.000773,0.050948
0.010000,0.059389,4.326563,0.060007,0.214560,0.382821,-0.000638,0.052882
0.010000,0.061570,4.326681,0.062191,0.218388,0.382801,-0.001947,0.054853
0.010000,0.063788,4.326805,0.064413,0.222216,0.382770,-0.003150,0.056859
0.010000,0.066045,4.326936,0.066674,0.226043,0.382728,-0.004246,0.058901
0.010000,0.068340,4.327073,0.068972,0.229870,0.382675,-0.005230,0.060980
0.010000,0.070672,4.327218,0.071309,0.233696,0.382614,-0.006099,0.063094
0.010000,0.073042,4.327370,0.073685,0.237522,0.382546,-0.006852,0.065245
0.010000,0.075451,4.327530,0.076098,0.241346,0.382471,-0.007485,0.067432
0.010000,0.077896,4.327698,0.078550,0.245170,0.382391,-0.007996,0.069655
0.010000,0.080380,4.327874,0.081040,0.248993,0.382307,-0.008381,0.071914
0.010000,0.082902,4.328059,0.083568,0.252816,0.382221,-0.008639,0.074210
0.010000,0.085461,4.328252,0.086134,0.256637,0.382133,-0.008766,0.076541
0.010000,0.088057,4.328454,0.088739,0.260457,0.382045,-0.008760,0.078909
0.010000,0.090692,4.328666,0.091382,0.264277,0.381959,-0.008619,0.081313
0.010000,0.093363,4.328887,0.094063,0.268096,0.381876,-0.008341,0.083753
0.010000,0.096073,4.329118,0.096782,0.271943,0.384743,0.286758,0.086229
0.010000,0.098820,4.329359,0.099540,0.275768,0.382441,-0.230275,0.088741
0.010000,0.101605,4.329610,0.102336,0.279587,0.381918,-0.052281,0.091290
0.010000,0.104427,4.329872,0.105170,0.283405,0.381853,-0.006481,0.093874
0.010000,0.107286,4.330145,0.108042,0.287240,0.383474,0.162138,0.096494
0.010000,0.110183,4.330429,0.110953,0.291089,0.384858,0.138338,0.099150
0.010000,0.113117,4.330725,0.113902,0.294908,0.381957,-0.290078,0.101842
0.010000,0.116089,4.331033,0.116889,0.298728,0.381935,-0.002230,0.104570
0.010000,0.119098,4.331353,0.119915,0.302600,0.387267,0.533256,0.107334
0.010000,0.122144,4.331686,0.122979,0.306424,0.382369,-0.489798,0.110133
0.010000,0.125227,4.332031,0.126082,0.310252,0.382855,0.048547,0.112967
0.010000,0.128348,4.332390,0.129223,0.314130,0.387803,0.494791,0.115837
0.010000,0.131506,4.332762,0.132403,0.317955,0.382476,-0.532645,0.118743
0.010000,0.134701,4.333148,0.135621,0.321822,0.386692,0.421533,0.121683
0.010000,0.137933,4.333548,0.138878,0.325677,0.385439,-0.125267,0.124659
0.010000,0.141202,4.333962,0.142173,0.329532,0.385564,0.012530,0.127670
0.010000,0.144508,4.334392,0.145507,0.333411,0.387860,0.229613,0.130716
0.010000,0.147851,4.334837,0.148880,0.337268,0.385713,-0.214746,0.133796
0.010000,0.151232,4.335297,0.152292,0.341159,0.389156,0.344322,0.136911
0.010000,0.154649,4.335773,0.155742,0.345030,0.387071,-0.208546,0.140060
0.010000,0.158103,4.336266,0.159231,0.348924,0.389421,0.235049,0.143243
0.010000,0.161595,4.336775,0.162759,0.352820,0.389572,0.015042,0.146460
0.010000,0.165123,4.337301,0.166326,0.356708,0.388749,-0.082212,0.149711
0.010000,0.168688,4.337845,0.169933,0.360639,0.393151,0.440132,0.152996
0.010000,0.172290,4.338407,0.173578,0.364535,0.389547,-0.360327,0.156314
0.010000,0.175928,4.338986,0.177263,0.368466,0.393117,0.356975,0.159665
0.010000,0.179604,4.339585,0.180987,0.372403,0.393758,0.064089,0.163049
0.010000,0.183316,4.340202,0.184750,0.376330,0.392627,-0.113134,0.166465
0.010000,0.187065,4.340839,0.188553,0.380283,0.395321,0.269467,0.169914
0.010000,0.190852,4.341495,0.192395,0.384252,0.396944,0.162251,0.173395
0.010000,0.194674,4.342171,0.196278,0.388211,0.395884,-0.105946,0.176907
0.010000,0.198534,4.342868,0.200199,0.392182,0.397135,0.125075,0.180451
0.010000,0.202430,4.343586,0.204161,0.396178,0.399602,0.246666,0.184026
0.010000,0.206363,4.344326,0.208163,0.400186,0.400801,0.119954,0.187632
0.010000,0.210332,4.345087,0.212205,0.404193,0.400695,-0.010608,0.191268
0.010000,0.214339,4.345870,0.216287,0.408214,0.402044,0.134886,0.194934
0.010000,0.218382,4.346676,0.220410,0.412248,0.403419,0.137450,0.198630
0.010000,0.222461,4.347505,0.224573,0.416296,0.404821,0.140192,0.202354
0.010000,0.226577,4.348358,0.228776,0.420359,0.406252,0.143109,0.206108
0.010000,0.230730,4.349234,0.233021,0.424445,0.408575,0.232312,0.209890
0.010000,0.234920,4.350135,0.237306,0.428534,0.408983,0.040844,0.213700
0.010000,0.239146,4.351061,0.241632,0.432640,0.410515,0.153145,0.217537
0.010000,0.243409,4.352012,0.246000,0.436760,0.412092,0.157681,0.221402
0.010000,0.247708,4.352988,0.250409,0.440898,0.413705,0.161388,0.225292
0.010000,0.252045,4.353991,0.254859,0.445051,0.415358,0.165241,0.229209
0.010000,0.256417,4.355020,0.259352,0.449222,0.417050,0.169232,0.233152
0.010000,0.260827,4.356077,0.263886,0.453409,0.418784,0.173357,0.237119
0.010000,0.265273,4.357161,0.268462,0.457615,0.420560,0.177607,0.241110
0.010000,0.269755,4.358272,0.273080,0.461843,0.422774,0.221422,0.245126
0.010000,0.274274,4.359413,0.277741,0.466091,0.424783,0.200889,0.249164
0.010000,0.278830,4.360582,0.282445,0.470353,0.426272,0.148921,0.253226
0.010000,0.283423,4.361780,0.287191,0.474636,0.428219,0.194663,0.257309
0.010000,0.288052,4.363009,0.291980,0.478938,0.430213,0.199454,0.261414
0.010000,0.292718,4.364267,0.296813,0.483260,0.432257,0.204325,0.265539
0.010000,0.297420,4.365557,0.301689,0.487604,0.434366,0.210943,0.269684
0.010000,0.302160,4.366877,0.306609,0.491985,0.438124,0.375783,0.273849
0.010000,0.306936,4.368230,0.311573,0.496372,0.438739,0.061506,0.278033
0.010000,0.311748,4.369614,0.316580,0.500782,0.440974,0.223505,0.282234
0.010000,0.316597,4.371031,0.321633,0.505217,0.443446,0.247255,0.286453
0.010000,0.321484,4.372482,0.326730,0.509690,0.447372,0.392568,0.290688
0.010000,0.326406,4.373966,0.331871,0.514170,0.448004,0.063204,0.294939
0.010000,0.331366,4.375484,0.337058,0.518675,0.450444,0.243940,0.299205
0.010000,0.336363,4.377037,0.342290,0.523225,0.455038,0.459411,0.303485
0.010000,0.341396,4.378625,0.347568,0.527780,0.455451,0.041309,0.307779
0.010000,0.346466,4.380249,0.352892,0.532368,0.458833,0.338239,0.312085
0.010000,0.351573,4.381909,0.358262,0.536989,0.462055,0.322221,0.316403
0.010000,0.356716,4.383605,0.363678,0.541622,0.463359,0.130383,0.320732
0.010000,0.361897,4.385339,0.369141,0.546305,0.468230,0.487117,0.325071
0.010000,0.367115,4.387110,0.374651,0.550992,0.468773,0.054265,0.329419
0.010000,0.372369,4.388919,0.380208,0.555728,0.473576,0.480320,0.333776
0.010000,0.377661,4.390767,0.385813,0.560475,0.474648,0.107174,0.338140
0.010000,0.382989,4.392654,0.391466,0.565268,0.479342,0.469361,0.342511
0.010000,0.388354,4.394580,0.397166,0.570074,0.480561,0.121900,0.346887
0.010000,0.393757,4.396547,0.402916,0.574925,0.485120,0.455898,0.351269
0.010000,0.399196,4.398554,0.408713,0.579794,0.486917,0.179741,0.355654
0.010000,0.404673,4.400602,0.414560,0.584699,0.490494,0.357682,0.360042
