dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000681,3.675001,0.000001,0.000200,0.019995,1.999474,6.281088
0.010000,-0.000681,3.675001,0.000002,0.000089,-0.011133,-3.112765,6.281091
0.010000,-0.000679,3.675001,0.000004,0.000199,0.011077,2.221021,6.281097
0.010000,-0.000675,3.675001,0.000007,0.000354,0.015508,0.443094,6.281108
0.010000,-0.000670,3.675001,0.000013,0.000554,0.019939,0.443096,6.281125
0.010000,-0.000662,3.675001,0.000021,0.000798,0.024370,0.443101,6.281150
0.010000,-0.000651,3.675001,0.000032,0.001086,0.028801,0.443107,6.281183
0.010000,-0.000637,3.675001,0.000046,0.001418,0.033232,0.443116,6.281227
0.010000,-0.000619,3.675001,0.000064,0.001795,0.037664,0.443127,6.281282
0.010000,-0.000596,3.675001,0.000086,0.002215,0.042095,0.443142,6.281350
0.010000,-0.000570,3.675000,0.000113,0.002681,0.046527,0.443160,6.281433
0.010000,-0.000538,3.675000,0.000145,0.003190,0.050959,0.443182,6.281531
0.010000,-0.000500,3.675000,0.000182,0.003744,0.055391,0.443208,6.281646
0.010000,-0.000457,3.675000,0.000226,0.004342,0.059823,0.443239,6.281780
0.010000,-0.000407,3.675000,0.000276,0.004985,0.064256,0.443274,6.281933
0.010000,-0.000350,3.675000,0.000332,0.005672,0.068689,0.443313,6.282108
0.010000,-0.000286,3.675000,0.000396,0.006403,0.073122,0.443358,6.282305
0.010000,-0.000214,3.675000,0.000468,0.007179,0.077557,0.443406,6.282525
0.010000,-0.000134,3.675000,0.000548,0.007999,0.081991,0.443460,6.282772
0.010000,-0.000046,3.675000,0.000637,0.008863,0.086426,0.443517,6.283044
0.010000,0.000286,3.675000,0.000969,0.033198,2.433503,234.707651,0.000160
0.010000,0.000877,3.675000,0.001560,0.059134,2.593599,16.009611,0.000490
0.010000,0.001524,3.675001,0.002206,0.064623,0.548947,-204.465196,0.000851
0.010000,0.002227,3.675001,0.002910,0.070355,0.573147,2.420047,0.001244
0.010000,0.002991,3.675002,0.003673,0.076328,0.597313,2.416565,0.001670
0.010000,0.003815,3.675004,0.004497,0.082426,0.609818,1.250490,0.002131
0.010000,0.004701,3.675006,0.005383,0.088598,0.617194,0.737571,0.002626
0.010000,0.005648,3.675009,0.006330,0.094690,0.609176,-0.801775,0.003155
0.010000,0.006655,3.675012,0.007338,0.100778,0.608809,-0.036738,0.003718
0.010000,0.007724,3.675017,0.008407,0.106884,0.610557,0.174865,0.004316
0.010000,0.008855,3.675022,0.009537,0.113055,0.617122,0.656434,0.004948
0.010000,0.010046,3.675028,0.010729,0.119136,0.608171,-0.895104,0.005615
0.010000,0.011298,3.675036,0.011981,0.125217,0.608093,-0.007742,0.006316
0.010000,0.012612,3.675044,0.013295,0.131416,0.619860,1.176641,0.007051
0.010000,0.013987,3.675055,0.014670,0.137489,0.607319,-1.254036,0.007821
0.010000,0.015423,3.675066,0.016106,0.143598,0.610892,0.357317,0.008626
0.010000,0.016921,3.675080,0.017604,0.149767,0.616888,0.599543,0.009465
0.010000,0.018479,3.675095,0.019162,0.155830,0.606257,-1.063114,0.010339
0.010000,0.020099,3.675113,0.020782,0.162018,0.618869,1.261278,0.011247
0.010000,0.021780,3.675133,0.022463,0.168101,0.608295,-1.057407,0.012190
0.010000,0.023522,3.675155,0.024206,0.174251,0.615027,0.673194,0.013168
0.010000,0.025326,3.675179,0.026009,0.180370,0.611852,-0.317536,0.014181
0.010000,0.027191,3.675207,0.027874,0.186505,0.613530,0.167771,0.015228
0.010000,0.029117,3.675237,0.029801,0.192634,0.612862,-0.066789,0.016311
0.010000,0.031104,3.675271,0.031788,0.198777,0.614339,0.147739,0.017428
0.010000,0.033153,3.675308,0.033837,0.204891,0.611364,-0.297558,0.018580
0.010000,0.035263,3.675348,0.035948,0.211065,0.617418,0.605411,0.019768
0.010000,0.037434,3.675392,0.038119,0.217140,0.607476,-0.994152,0.020990
0.010000,0.039667,3.675441,0.040353,0.223366,0.622568,1.509215,0.022248
0.010000,0.041961,3.675493,0.042648,0.229453,0.608759,-1.380964,0.023541
0.010000,0.044317,3.675550,0.045004,0.235602,0.614873,0.611393,0.024869
0.010000,0.046734,3.675612,0.047421,0.241776,0.617429,0.255622,0.026232
0.010000,0.049211,3.675679,0.049900,0.247882,0.610607,-0.682177,0.027631
0.010000,0.051751,3.675751,0.052441,0.254049,0.616643,0.603640,0.029065
0.010000,0.054352,3.675828,0.055043,0.260221,0.617267,0.062336,0.030534
0.010000,0.057014,3.675912,0.057706,0.266343,0.612218,-0.504904,0.032039
0.010000,0.059737,3.676001,0.060431,0.272473,0.612918,0.070025,0.033579
0.010000,0.062523,3.676097,0.063218,0.278693,0.622006,0.908836,0.035155
0.010000,0.065369,3.676199,0.066066,0.284828,0.613543,-0.846328,0.036767
0.010000,0.068277,3.676308,0.068976,0.290969,0.614100,0.055728,0.038414
0.010000,0.071246,3.676425,0.071947,0.297116,0.614647,0.054631,0.040097
0.010000,0.074276,3.676549,0.074980,0.303291,0.617569,0.292240,0.041816
0.010000,0.077368,3.676681,0.078075,0.309477,0.618589,0.101952,0.043571
0.010000,0.080521,3.676822,0.081231,0.315631,0.615404,-0.318422,0.045361
0.010000,0.083736,3.676970,0.084449,0.321789,0.615798,0.039350,0.047188
0.010000,0.087011,3.677128,0.087729,0.327951,0.616151,0.035306,0.049050
0.010000,0.090348,3.677295,0.091070,0.334115,0.616464,0.031271,0.050948
0.010000,0.093747,3.677472,0.094472,0.340283,0.616736,0.027244,0.052882
0.010000,0.097206,3.677658,0.097937,0.346452,0.616968,0.023227,0.054853
0.010000,0.100727,3.677855,0.101463,0.352624,0.617161,0.019222,0.056859
0.010000,0.104309,3.678063,0.105051,0.358797,0.617313,0.015228,0.058901
0.010000,0.107952,3.678281,0.108701,0.364971,0.617425,0.011248,0.060980
0.010000,0.111656,3.678511,0.112412,0.371146,0.617498,0.007282,0.063094
0.010000,0.115422,3.678753,0.116186,0.377322,0.617531,0.003331,0.065245
0.010000,0.119248,3.679008,0.120021,0.383497,0.617525,-0.000604,0.067432
0.010000,0.123136,3.679275,0.123917,0.389672,0.617480,-0.004521,0.069655
0.010000,0.127084,3.679554,0.127876,0.395846,0.617396,-0.008421,0.071914
0.010000,0.131094,3.679848,0.131896,0.402018,0.617273,-0.012301,0.074210
0.010000,0.135164,3.680155,0.135978,0.408190,0.617111,-0.016162,0.076541
0.010000,0.139295,3.680477,0.140121,0.414359,0.616911,-0.020001,0.078909
0.010000,0.143487,3.680814,0.144327,0.420525,0.616673,-0.023819,0.081313
0.010000,0.147739,3.681165,0.148594,0.426689,0.616397,-0.027614,0.083753
0.010000,0.152053,3.681533,0.152923,0.432897,0.620775,0.437750,0.086229
0.010000,0.156426,3.681916,0.157313,0.439066,0.616876,-0.389825,0.088741
0.010000,0.160861,3.682317,0.161765,0.445223,0.615762,-0.111472,0.091290
0.010000,0.165355,3.682734,0.166279,0.451377,0.615325,-0.043627,0.093874
0.010000,0.169910,3.683169,0.170855,0.457552,0.617523,0.219724,0.096494
0.010000,0.174525,3.683622,0.175492,0.463745,0.619287,0.176465,0.099150
0.010000,0.179200,3.684093,0.180191,0.469887,0.614169,-0.511789,0.101842
0.010000,0.183935,3.684584,0.184951,0.476022,0.613577,-0.059209,0.104570
0.010000,0.188731,3.685094,0.189774,0.482237,0.621458,0.788072,0.107334
0.010000,0.193585,3.685624,0.194657,0.488367,0.612972,-0.848602,0.110133
0.010000,0.198500,3.686174,0.199602,0.494497,0.612998,0.002659,0.112967
0.010000,0.203474,3.686746,0.204609,0.500697,0.620070,0.707161,0.115837
0.010000,0.208507,3.687339,0.209677,0.506804,0.610695,-0.937508,0.118743
