dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,3.675000,0.000100,0.010000,0.500000,25.000000,0.000000
0.020000,0.000000,3.675000,0.000100,0.000000,-0.500000,-50.000000,0.000000
0.020000,0.000000,3.675000,0.000100,0.000000,0.000000,25.000000,0.000000
0.020000,0.000000,3.675000,0.000100,0.000000,0.000000,0.000000,0.000000
0.020000,0.000500,3.675000,0.000600,0.025000,1.250000,62.500000,0.000000
0.020000,0.001600,3.675000,0.001700,0.055000,1.500000,12.500000,0.000000
0.020000,0.002900,3.675000,0.003000,0.065000,0.500000,-50.000000,0.000000
0.020000,0.004400,3.675000,0.004500,0.075000,0.500000,0.000000,0.000000
0.020000,0.006100,3.675000,0.006200,0.085000,0.500000,-0.000000,0.000000
0.020000,0.008000,3.675000,0.008100,0.095000,0.500000,0.000000,0.000000
0.020000,0.010100,3.675000,0.010200,0.105000,0.500000,-0.000000,0.000000
0.020000,0.012400,3.675000,0.012500,0.115000,0.500000,0.000000,0.000000
0.020000,0.014900,3.675000,0.015000,0.125000,0.500000,-0.000000,0.000000
0.020000,0.017600,3.675000,0.017700,0.135000,0.500000,-0.000000,0.000000
0.020000,0.020500,3.675000,0.020600,0.145000,0.500000,0.000000,0.000000
0.020000,0.023600,3.675000,0.023700,0.155000,0.500000,0.000000,0.000000
0.020000,0.026900,3.675000,0.027000,0.165000,0.500000,-0.000000,0.000000
0.020000,0.030400,3.675000,0.030500,0.175000,0.500000,-0.000000,0.000000
0.020000,0.034100,3.675000,0.034200,0.185000,0.500000,0.000000,0.000000
0.020000,0.038000,3.675000,0.038100,0.195000,0.500000,0.000000,0.000000
0.020000,0.042100,3.675000,0.042200,0.205000,0.500000,-0.000000,0.000000
0.020000,0.046400,3.675000,0.046500,0.215000,0.500000,0.000000,0.000000
0.020000,0.050900,3.675000,0.051000,0.225000,0.500000,-0.000000,0.000000
0.020000,0.055600,3.675000,0.055700,0.235000,0.500000,0.000000,0.000000
