dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,4.325000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.000000,4.325000,0.000200,0.000000,-1.000000,-100.000000,0.000000
0.020000,0.000000,4.325000,0.000200,0.000000,0.000000,50.000000,0.000000
0.020000,0.000000,4.325000,0.000200,0.000000,0.000000,0.000000,0.000000
0.020000,0.001000,4.325000,0.001200,0.050000,2.500000,125.000000,0.000000
0.020000,0.003200,4.325000,0.003400,0.110000,3.000000,25.000000,0.000000
0.020000,0.005800,4.325000,0.006000,0.130000,1.000000,-100.000000,0.000000
0.020000,0.008800,4.325000,0.009000,0.150000,1.000000,0.000000,0.000000
0.020000,0.012200,4.325000,0.012400,0.170000,1.000000,-0.000000,0.000000
0.020000,0.016000,4.325000,0.016200,0.190000,1.000000,0.000000,0.000000
0.020000,0.020200,4.325000,0.020400,0.210000,1.000000,-0.000000,0.000000
0.020000,0.024800,4.325000,0.025000,0.230000,1.000000,0.000000,0.000000
0.020000,0.029800,4.325000,0.030000,0.250000,1.000000,-0.000000,0.000000
0.020000,0.035200,4.325000,0.035400,0.270000,1.000000,-0.000000,0.000000
0.020000,0.041000,4.325000,0.041200,0.290000,1.000000,0.000000,0.000000
0.020000,0.047200,4.325000,0.047400,0.310000,1.000000,0.000000,0.000000
0.020000,0.053800,4.325000,0.054000,0.330000,1.000000,-0.000000,0.000000
0.020000,0.060800,4.325000,0.061000,0.350000,1.000000,-0.000000,0.000000
0.020000,0.068200,4.325000,0.068400,0.370000,1.000000,0.000000,0.000000
0.020000,0.076000,4.325000,0.076200,0.390000,1.000000,0.000000,0.000000
0.020000,0.084200,4.325000,0.084400,0.410000,1.000000,-0.000000,0.000000
0.020000,0.092800,4.325000,0.093000,0.430000,1.000000,0.000000,0.000000
0.020000,0.101800,4.325000,0.102000,0.450000,1.000000,-0.000000,0.000000
0.020000,0.111200,4.325000,0.111400,0.470000,1.000000,0.000000,0.000000
0.020000,0.121000,4.325000,0.121200,0.490000,1.000000,-0.000000,0.000000
0.020000,0.131200,4.325000,0.131400,0.510000,1.000000,0.000000,0.000000
0.020000,0.141800,4.325000,0.142000,0.530000,1.000000,-0.000000,0.000000
0.020000,0.152800,4.325000,0.153000,0.550000,1.000000,0.000000,0.000000
0.020000,0.164200,4.325000,0.164400,0.570000,1.000000,-0.000000,0.000000
0.020000,0.176000,4.325000,0.176200,0.590000,1.000000,0.000000,0.000000
0.020000,0.188200,4.325000,0.188400,0.610000,1.000000,0.000000,0.000000
0.020000,0.200800,4.325000,0.201000,0.630000,1.000000,-0.000000,0.000000
0.020000,0.213800,4.325000,0.214000,0.650000,1.000000,0.000000,0.000000
0.020000,0.227200,4.325000,0.227400,0.670000,1.000000,-0.000000,0.000000
0.020000,0.241000,4.325000,0.241200,0.690000,1.000000,0.000000,0.000000
