dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000435,4.325000,0.000200,0.020000,1.000000,50.000000,6.281848
0.020000,0.000485,4.325000,0.000251,0.002529,-0.873546,-93.677292,6.281693
0.020000,0.000704,4.324999,0.000469,0.010933,0.420183,64.686427,6.281433
0.020000,0.002222,4.324996,0.001987,0.075912,3.248950,141.438388,6.281069
0.020000,0.004174,4.324992,0.003940,0.097612,1.085005,-108.197251,6.280601
0.020000,0.006561,4.324985,0.006326,0.119323,1.085552,0.027341,6.280027
0.020000,0.009381,4.324975,0.009147,0.141040,1.085879,0.016361,6.279348
0.020000,0.012637,4.324961,0.012402,0.162774,1.086688,0.040404,6.278562
0.020000,0.016327,4.324943,0.016093,0.184520,1.087294,0.030334,6.277668
0.020000,0.020453,4.324918,0.020219,0.206282,1.088106,0.040604,6.276666
0.020000,0.025014,4.324885,0.024780,0.228067,1.089215,0.055436,6.275554
0.020000,0.030011,4.324844,0.029777,0.249867,1.090017,0.040096,6.274332
0.020000,0.035445,4.324793,0.035211,0.271692,1.091240,0.061153,6.272997
0.020000,0.041315,4.324728,0.041082,0.293541,1.092462,0.061118,6.271548
0.020000,0.047623,4.324650,0.047390,0.315415,1.093716,0.062694,6.269984
0.020000,0.054369,4.324555,0.054137,0.337322,1.095313,0.079833,6.268303
0.020000,0.061553,4.324442,0.061322,0.359256,1.096735,0.071110,6.266503
0.020000,0.069176,4.324308,0.068946,0.381223,1.098357,0.081099,6.264581
0.020000,0.077239,4.324149,0.077011,0.403229,1.100306,0.097439,6.262536
0.020000,0.085743,4.323964,0.085516,0.425268,1.101936,0.081480,6.260366
0.020000,0.094687,4.323750,0.094463,0.447349,1.104052,0.105814,6.258067
0.020000,0.104073,4.323503,0.103853,0.469473,1.106170,0.105914,6.255638
0.020000,0.113902,4.323219,0.113685,0.491638,1.108289,0.105927,6.253076
0.020000,0.124174,4.322896,0.123962,0.513853,1.110724,0.121788,6.250377
0.020000,0.134890,4.322529,0.134685,0.536115,1.113098,0.118687,6.247539
0.020000,0.146051,4.322115,0.145853,0.558429,1.115699,0.130024,6.244559
0.020000,0.157657,4.321648,0.157469,0.580796,1.118349,0.132514,6.241433
0.020000,0.169711,4.321125,0.169534,0.603222,1.121311,0.148119,6.238158
0.020000,0.182211,4.320540,0.182048,0.625705,1.124139,0.141402,6.234730
0.020000,0.195160,4.319889,0.195013,0.648249,1.127201,0.153087,6.231145
0.020000,0.208557,4.319166,0.208430,0.670859,1.130522,0.166030,6.227400
0.020000,0.222405,4.318365,0.222301,0.693533,1.133686,0.158228,6.223490
0.020000,0.236703,4.317482,0.236626,0.716279,1.137319,0.181629,6.219412
0.020000,0.251453,4.316508,0.251408,0.739097,1.140880,0.178058,6.215160
0.020000,0.266655,4.315439,0.266648,0.761989,1.144581,0.185065,6.210730
0.020000,0.282310,4.314266,0.282347,0.784957,1.148413,0.191598,6.206117
0.020000,0.298420,4.312983,0.298507,0.808006,1.152445,0.201597,6.201316
0.020000,0.314983,4.311583,0.315130,0.831138,1.156589,0.207182,6.196323
0.020000,0.332002,4.310056,0.332217,0.854352,1.160746,0.207880,6.191132
0.020000,0.349476,4.308396,0.349770,0.877659,1.165338,0.229575,6.185738
0.020000,0.367407,4.306592,0.367791,0.901053,1.169668,0.216505,6.180134
0.020000,0.385794,4.304637,0.386282,0.924539,1.174301,0.231663,6.174317
0.020000,0.404638,4.302520,0.405244,0.948123,1.179209,0.245368,6.168278
0.020000,0.423939,4.300231,0.424680,0.971800,1.183873,0.233207,6.162013
0.020000,0.443696,4.297760,0.444592,0.995579,1.188925,0.252615,6.155516
0.020000,0.463911,4.295096,0.464981,1.019458,1.193957,0.251608,6.148780
0.020000,0.484582,4.292228,0.485850,1.043439,1.199058,0.255026,6.141799
0.020000,0.505708,4.289143,0.507200,1.067525,1.204279,0.261085,6.134567
0.020000,0.527289,4.285829,0.529035,1.091717,1.209603,0.266160,6.127076
0.020000,0.549325,4.282273,0.551355,1.116014,1.214862,0.262951,6.119321
0.020000,0.571590,4.278501,0.573937,1.129115,0.655063,-27.989912,6.111376
0.020000,0.593860,4.274545,0.596556,1.130952,0.091820,-28.162190,6.103317
