dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000435,3.675000,0.000200,0.020000,1.000000,50.000000,6.281848
0.020000,-0.000485,3.675000,0.000251,0.002529,-0.873546,-93.677292,6.281693
0.020000,-0.000435,3.675000,0.000301,0.002497,-0.001625,43.596052,6.281433
0.020000,0.000847,3.674998,0.001582,0.064088,3.079582,154.060361,6.281069
0.020000,0.002494,3.674994,0.003230,0.082387,0.914953,-108.231457,6.280601
0.020000,0.004508,3.674988,0.005244,0.100680,0.914619,-0.016706,6.280027
0.020000,0.006887,3.674980,0.007623,0.118958,0.913921,-0.034895,6.279348
0.020000,0.009632,3.674968,0.010367,0.137227,0.913450,-0.023586,6.278562
0.020000,0.012741,3.674952,0.013477,0.155480,0.912627,-0.041113,6.277668
0.020000,0.016215,3.674932,0.016951,0.173716,0.911796,-0.041551,6.276666
0.020000,0.020054,3.674904,0.020790,0.191936,0.911031,-0.038241,6.275554
0.020000,0.024257,3.674870,0.024993,0.210133,0.909823,-0.060413,6.274332
0.020000,0.028822,3.674826,0.029559,0.228308,0.908782,-0.052043,6.272997
0.020000,0.033751,3.674772,0.034488,0.246459,0.907552,-0.061531,6.271548
0.020000,0.039043,3.674707,0.039780,0.264582,0.906156,-0.069761,6.269984
0.020000,0.044696,3.674627,0.045433,0.282680,0.904855,-0.065060,6.268303
0.020000,0.050710,3.674532,0.051448,0.300744,0.903212,-0.082174,6.266503
0.020000,0.057084,3.674420,0.057824,0.318775,0.901537,-0.083722,6.264581
0.020000,0.063818,3.674288,0.064559,0.336773,0.899935,-0.080128,6.262536
0.020000,0.070911,3.674134,0.071654,0.354730,0.897862,-0.103662,6.260366
0.020000,0.078362,3.673955,0.079107,0.372650,0.895988,-0.093687,6.258067
0.020000,0.086170,3.673749,0.086917,0.390528,0.893906,-0.104116,6.255638
0.020000,0.094334,3.673514,0.095084,0.408361,0.891611,-0.114743,6.253076
0.020000,0.102853,3.673246,0.103607,0.426148,0.889363,-0.112360,6.250377
0.020000,0.111725,3.672942,0.112485,0.443885,0.886846,-0.125889,6.247539
0.020000,0.120950,3.672599,0.121716,0.461571,0.884294,-0.127593,6.244559
0.020000,0.130527,3.672214,0.131301,0.479202,0.881558,-0.136783,6.241433
0.020000,0.140453,3.671783,0.141236,0.496779,0.878852,-0.135306,6.238158
0.020000,0.150727,3.671303,0.151522,0.514295,0.875804,-0.152380,6.234730
0.020000,0.161349,3.670769,0.162157,0.531749,0.872716,-0.154403,6.231145
0.020000,0.172316,3.670177,0.173140,0.549141,0.869605,-0.155563,6.227400
0.020000,0.183626,3.669523,0.184469,0.566464,0.866129,-0.173813,6.223490
0.020000,0.195278,3.668803,0.196143,0.583720,0.862796,-0.166623,6.219412
0.020000,0.207270,3.668012,0.208162,0.600903,0.859165,-0.181556,6.215160
0.020000,0.219600,3.667144,0.220522,0.618011,0.855408,-0.187859,6.210730
0.020000,0.232265,3.666196,0.233223,0.635042,0.851517,-0.194549,6.206117
0.020000,0.245264,3.665161,0.246262,0.651993,0.847549,-0.198406,6.201316
0.020000,0.258594,3.664033,0.259640,0.668861,0.843434,-0.205760,6.196323
0.020000,0.272252,3.662808,0.273353,0.685643,0.839096,-0.216883,6.191132
0.020000,0.286236,3.661480,0.287399,0.702341,0.834877,-0.210962,6.185738
0.020000,0.300542,3.660041,0.301778,0.718945,0.830224,-0.232645,6.180134
0.020000,0.315169,3.658485,0.316487,0.735457,0.825597,-0.231328,6.174317
0.020000,0.330113,3.656806,0.331525,0.751877,0.820981,-0.230826,6.168278
0.020000,0.345370,3.654997,0.346889,0.768196,0.815975,-0.250295,6.162013
0.020000,0.360937,3.653050,0.362577,0.784418,0.811094,-0.244045,6.155516
0.020000,0.376810,3.650958,0.378588,0.800539,0.806030,-0.253196,6.148780
0.020000,0.392986,3.648714,0.394919,0.816556,0.800873,-0.257884,6.141799
0.020000,0.409461,3.646308,0.411569,0.832470,0.795684,-0.259414,6.134567
0.020000,0.426230,3.643733,0.428534,0.848279,0.790475,-0.260477,6.127076
0.020000,0.443289,3.640981,0.445814,0.863982,0.785144,-0.266517,6.119321
0.020000,0.460462,3.638071,0.463231,0.870878,0.344775,-22.018491,6.111376
0.020000,0.477575,3.635031,0.480612,0.869044,-0.091666,-21.822034,6.103317
0.020000,0.494627,3.631858,0.497957,0.867215,-0.091480,0.009308,6.095146
0.020000,0.511616,3.628553,0.515264,0.865397,-0.090907,0.028632,6.086863
0.020000,0.528542,3.625113,0.532536,0.863586,-0.090517,0.019494,6.078468
0.020000,0.545403,3.621537,0.549772,0.861791,-0.089792,0.036263,6.069963
0.020000,0.562197,3.617826,0.566972,0.860008,-0.089119,0.033663,6.061348
0.020000,0.578925,3.613976,0.584137,0.858243,-0.088254,0.043241,6.052625
0.020000,0.595584,3.609988,0.601267,0.856498,-0.087276,0.048893,6.043794
0.020000,0.612174,3.605861,0.618362,0.854773,-0.086248,0.051425,6.034857
0.020000,0.628693,3.601593,0.635424,0.853073,-0.084990,0.062902,6.025816
0.020000,0.645140,3.597183,0.652452,0.851398,-0.083720,0.063492,6.016671
0.020000,0.661514,3.592632,0.669447,0.849753,-0.082269,0.072568,6.007426
0.020000,0.677815,3.587937,0.686410,0.848140,-0.080673,0.079770,5.998081
0.020000,0.694040,3.583098,0.703341,0.846559,-0.079007,0.083329,5.988638
0.020000,0.710189,3.578115,0.720241,0.845016,-0.077164,0.092133,5.979101
0.020000,0.726260,3.572987,0.737111,0.843512,-0.075207,0.097854,5.969471
0.020000,0.742254,3.567712,0.753952,0.842050,-0.073126,0.104059,5.959751
0.020000,0.758169,3.562291,0.770765,0.840631,-0.070906,0.110986,5.949944
0.020000,0.774003,3.556722,0.787550,0.839260,-0.068565,0.117054,5.940053
0.020000,0.789757,3.551005,0.804309,0.837938,-0.066083,0.124101,5.930080
0.020000,0.805428,3.545140,0.821042,0.836668,-0.063505,0.128912,5.920029
0.020000,0.821018,3.539125,0.837751,0.835453,-0.060774,0.136504,5.909903
0.020000,0.836523,3.532961,0.854437,0.834295,-0.057917,0.142861,5.899706
0.020000,0.851945,3.526647,0.871101,0.833194,-0.055025,0.144607,5.889442
0.020000,0.867281,3.520183,0.887744,0.832156,-0.051899,0.156319,5.879113
0.020000,0.882532,3.513568,0.904368,0.831181,-0.048757,0.157110,5.868724
0.020000,0.897696,3.506802,0.920973,0.830271,-0.045509,0.162373,5.858280
0.020000,0.912774,3.499884,0.937562,0.829429,-0.042077,0.171593,5.847783
0.020000,0.927763,3.492815,0.954135,0.828654,-0.038759,0.165925,5.837239
0.020000,0.942665,3.485594,0.970694,0.827952,-0.035088,0.183537,5.826652
0.020000,0.957478,3.478221,0.987241,0.827320,-0.031615,0.173638,5.816026
0.020000,0.972202,3.470696,1.003776,0.826763,-0.027845,0.188526,5.805365
0.020000,0.986835,3.463018,1.020301,0.826278,-0.024237,0.180363,5.794675
0.020000,1.001379,3.455189,1.036819,0.825871,-0.020354,0.194159,5.783959
0.020000,1.015832,3.447206,1.053329,0.825537,-0.016715,0.181975,5.773224
0.020000,1.030194,3.439072,1.069835,0.825283,-0.012705,0.200496,5.762472
0.020000,1.044465,3.430785,1.086337,0.825102,-0.009060,0.182223,5.751709
0.020000,1.058644,3.422347,1.102837,0.825000,-0.005074,0.199331,5.740940
0.020000,1.072730,3.413756,1.119337,0.824976,-0.001194,0.193984,5.730170
0.020000,1.086724,3.405013,1.135837,0.825025,0.002414,0.180406,5.719402
0.020000,1.100626,3.396119,1.152340,0.825153,0.006430,0.200794,5.708643
0.020000,1.114434,3.387074,1.168847,0.825357,0.010198,0.188378,5.697896
0.020000,1.128149,3.377878,1.185360,0.825636,0.013922,0.186235,5.687166
0.020000,1.141771,3.368532,1.201880,0.825985,0.017470,0.177404,5.676457
0.020000,1.155298,3.359035,1.218408,0.826409,0.021220,0.187502,5.665775
0.020000,1.168732,3.349389,1.234946,0.826905,0.024786,0.178293,5.655124
0.020000,1.182071,3.339594,1.251496,0.827470,0.028267,0.174016,5.644507
0.020000,1.195316,3.329651,1.268058,0.828104,0.031668,0.170053,5.633929
0.020000,1.208467,3.319559,1.284634,0.828803,0.034984,0.165812,5.623394
0.020000,1.221522,3.309321,1.301225,0.829568,0.038210,0.161325,5.612906
0.020000,1.234483,3.298936,1.317833,0.830395,0.041343,0.156627,5.602469
0.020000,1.247348,3.288406,1.334459,0.831280,0.044297,0.147703,5.592086
0.020000,1.260119,3.277731,1.351103,0.832223,0.047109,0.140586,5.581762
0.020000,1.272794,3.266912,1.367767,0.833224,0.050064,0.147778,5.571499
0.020000,1.285609,3.255743,1.384767,0.849969,0.837248,39.359190,5.562813
0.020000,1.295823,3.246650,1.398442,0.683752,-8.310824,-457.403582,5.550512
0.020000,1.307605,3.235915,1.414381,0.796971,5.660955,698.588920,5.538018
0.020000,1.319207,3.225075,1.430259,0.793877,-0.154736,-290.784522,5.525333
0.020000,1.330625,3.214130,1.446076,0.790835,-0.152080,0.132782,5.512462
0.020000,1.341857,3.203079,1.461833,0.787856,-0.148954,0.156288,5.499408
0.020000,1.352903,3.191923,1.477532,0.784962,-0.144729,0.211284,5.486175
0.020000,1.363760,3.180661,1.493175,0.782160,-0.140078,0.232520,5.472769
0.020000,1.374427,3.169293,1.508764,0.779435,-0.136247,0.191566,5.459197
0.020000,1.384903,3.157819,1.524301,0.776854,-0.129074,0.358652,5.445465
