dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000418,4.325000,0.000008,0.000775,0.038728,1.936412,6.281898
0.020000,0.000421,4.325000,0.000010,0.000131,-0.032201,-3.546468,6.281890
0.020000,0.000427,4.325000,0.000016,0.000294,0.008160,2.018033,6.281872
0.020000,0.000437,4.325000,0.000027,0.000522,0.011425,0.163280,6.281840
0.020000,0.000454,4.325000,0.000043,0.000816,0.014693,0.163416,6.281790
0.020000,0.000477,4.325000,0.000067,0.001175,0.017966,0.163639,6.281717
0.020000,0.000509,4.325000,0.000099,0.001600,0.021246,0.163971,6.281619
0.020000,0.000551,4.325000,0.000140,0.002091,0.024534,0.164433,6.281490
0.020000,0.001146,4.324998,0.000735,0.029739,1.382395,67.893031,6.281327
0.020000,0.001986,4.324997,0.001575,0.041999,0.613000,-38.469732,6.281126
0.020000,0.003002,4.324995,0.002592,0.050823,0.441190,-8.590512,6.280882
0.020000,0.004212,4.324992,0.003801,0.060486,0.483163,2.098670,6.280592
0.020000,0.005632,4.324988,0.005221,0.070996,0.525490,2.116320,6.280251
0.020000,0.007279,4.324983,0.006868,0.082346,0.567520,2.101519,6.279854
0.020000,0.009169,4.324976,0.008759,0.094541,0.609737,2.110837,6.279399
0.020000,0.011321,4.324967,0.010911,0.107581,0.651984,2.112370,6.278880
0.020000,0.013750,4.324956,0.013340,0.121469,0.694443,2.122951,6.278292
0.020000,0.016474,4.324942,0.016064,0.136203,0.736655,2.110562,6.277632
0.020000,0.019502,4.324924,0.019091,0.151367,0.758217,1.078102,6.276897
0.020000,0.022832,4.324902,0.022422,0.166539,0.758596,0.018981,6.276087
0.020000,0.026467,4.324874,0.026057,0.181722,0.759166,0.028500,6.275200
0.020000,0.030405,4.324841,0.029995,0.196917,0.759730,0.028193,6.274235
0.020000,0.034647,4.324801,0.034237,0.212123,0.760288,0.027901,6.273193
0.020000,0.039194,4.324753,0.038784,0.227344,0.761096,0.040379,6.272073
0.020000,0.044045,4.324696,0.043636,0.242577,0.761630,0.026695,6.270872
0.020000,0.049201,4.324629,0.048792,0.257828,0.762539,0.045486,6.269592
0.020000,0.054663,4.324551,0.054254,0.273094,0.763309,0.038464,6.268230
0.020000,0.060429,4.324461,0.060022,0.288378,0.764220,0.045554,6.266785
0.020000,0.066502,4.324356,0.066095,0.303681,0.765108,0.044424,6.265256
0.020000,0.072881,4.324237,0.072475,0.319000,0.765978,0.043476,6.263643
0.020000,0.079566,4.324100,0.079162,0.334344,0.767209,0.061571,6.261944
0.020000,0.086559,4.323946,0.086156,0.349708,0.768164,0.047746,6.260157
0.020000,0.093859,4.323771,0.093458,0.365094,0.769305,0.057031,6.258281
0.020000,0.101466,4.323574,0.101068,0.380503,0.770482,0.058866,6.256315
0.020000,0.109382,4.323353,0.108987,0.395940,0.771845,0.068171,6.254257
0.020000,0.117606,4.323106,0.117215,0.411400,0.773009,0.058158,6.252105
0.020000,0.126140,4.322831,0.125753,0.426890,0.774497,0.074442,6.249859
0.020000,0.134982,4.322526,0.134601,0.442407,0.775821,0.066164,6.247515
0.020000,0.144135,4.322188,0.143760,0.457953,0.777332,0.075564,6.245073
0.020000,0.153599,4.321815,0.153231,0.473530,0.778846,0.075697,6.242530
0.020000,0.163373,4.321405,0.163014,0.489141,0.780515,0.083472,6.239884
0.020000,0.173458,4.320954,0.173109,0.504783,0.782110,0.079720,6.237134
0.020000,0.183856,4.320460,0.183518,0.520461,0.783904,0.089715,6.234277
0.020000,0.194566,4.319920,0.194242,0.536173,0.785612,0.085389,6.231311
0.020000,0.205588,4.319330,0.205280,0.551923,0.787476,0.093225,6.228233
0.020000,0.216924,4.318689,0.216635,0.567710,0.789347,0.093523,6.225043
0.020000,0.228574,4.317991,0.228305,0.583540,0.791501,0.107700,6.221736
0.020000,0.240539,4.317235,0.240293,0.599405,0.793291,0.089508,6.218310
0.020000,0.252818,4.316415,0.252600,0.615317,0.795554,0.113156,6.214764
0.020000,0.265412,4.315529,0.265225,0.631270,0.797681,0.106337,6.211094
0.020000,0.278322,4.314572,0.278171,0.647268,0.799915,0.111734,6.207297
0.020000,0.291548,4.313540,0.291437,0.663313,0.802237,0.116096,6.203371
0.020000,0.305090,4.312429,0.305025,0.679402,0.804440,0.110124,6.199312
0.020000,0.318950,4.311235,0.318936,0.695544,0.807110,0.133524,6.195119
0.020000,0.333127,4.309952,0.333170,0.711732,0.809415,0.115225,6.190787
0.020000,0.347621,4.308577,0.347730,0.727972,0.811991,0.128831,6.186314
0.020000,0.362433,4.307103,0.362615,0.744264,0.814574,0.129144,6.181696
0.020000,0.377563,4.305526,0.377827,0.760611,0.817378,0.140200,6.176930
0.020000,0.393012,4.303839,0.393368,0.777009,0.819882,0.125204,6.172013
0.020000,0.408779,4.302039,0.409237,0.793467,0.822883,0.150046,6.166941
0.020000,0.424864,4.300118,0.425436,0.809978,0.825565,0.134071,6.161711
0.020000,0.441268,4.298071,0.441967,0.826547,0.828447,0.144096,6.156319
0.020000,0.457990,4.295891,0.458831,0.843176,0.831479,0.151614,6.150763
0.020000,0.475030,4.293571,0.476028,0.859863,0.834307,0.141411,6.145037
0.020000,0.492388,4.291106,0.493560,0.876611,0.837412,0.155258,6.139138
0.020000,0.510063,4.288487,0.511429,0.893418,0.840372,0.147971,6.133063
0.020000,0.528056,4.285708,0.529634,0.910287,0.843456,0.154216,6.126808
0.020000,0.546364,4.282761,0.548179,0.927218,0.846509,0.152657,6.120370
0.020000,0.564989,4.279639,0.567063,0.944210,0.849641,0.156596,6.113743
0.020000,0.583927,4.276332,0.586288,0.961264,0.852676,0.151760,6.106925
0.020000,0.603180,4.272834,0.605856,0.978380,0.855823,0.157316,6.099912
0.020000,0.622744,4.269134,0.625767,0.995557,0.858819,0.149816,6.092699
0.020000,0.642619,4.265226,0.646023,1.012794,0.861852,0.151648,6.085284
0.020000,0.662803,4.261098,0.666625,1.030092,0.864913,0.153068,6.077662
0.020000,0.683295,4.256743,0.687574,1.047447,0.867758,0.142251,6.069830
0.020000,0.704091,4.252150,0.708871,1.064861,0.870698,0.146989,6.061785
0.020000,0.725189,4.247309,0.730518,1.082330,0.873421,0.136148,6.053522
0.020000,0.746587,4.242211,0.752515,1.099852,0.876107,0.134281,6.045040
0.020000,0.768282,4.236845,0.774863,1.117425,0.878641,0.126723,6.036333
0.020000,0.790270,4.231199,0.797564,1.135047,0.881120,0.123925,6.027401
0.020000,0.812547,4.225265,0.820618,1.152712,0.883270,0.107505,6.018239
0.020000,0.835110,4.219029,0.844027,1.170420,0.885368,0.104918,6.008845
0.020000,0.857953,4.212482,0.867790,1.188164,0.887222,0.092690,5.999217
0.020000,0.881072,4.205610,0.891909,1.205941,0.888820,0.079919,5.989354
0.020000,0.904462,4.198404,0.916384,1.223744,0.890153,0.066631,5.979253
0.020000,0.928117,4.190850,0.941215,1.241568,0.891216,0.053172,5.968913
0.020000,0.952030,4.182937,0.966403,1.259407,0.891961,0.037259,5.958333
0.020000,0.976194,4.174654,0.991948,1.277254,0.892355,0.019701,5.947512
0.020000,1.000603,4.165986,1.017850,1.295102,0.892379,0.001179,5.936452
0.020000,1.025249,4.156924,1.044109,1.312942,0.891984,-0.019759,5.925151
0.020000,1.050122,4.147453,1.070724,1.330766,0.891198,-0.039312,5.913612
0.020000,1.075215,4.137563,1.097696,1.348564,0.889911,-0.064354,5.901835
0.020000,1.100517,4.127241,1.125022,1.366327,0.888183,-0.086375,5.889823
0.020000,1.126018,4.116475,1.152703,1.384045,0.885896,-0.114349,5.877579
0.020000,1.151708,4.105253,1.180737,1.401707,0.883084,-0.140595,5.865106
0.020000,1.177576,4.093564,1.209123,1.419302,0.879744,-0.167004,5.852408
0.020000,1.203609,4.081396,1.237860,1.436819,0.875876,-0.193427,5.839490
0.020000,1.229795,4.068738,1.266945,1.454244,0.871241,-0.231740,5.826357
0.020000,1.256121,4.055580,1.296376,1.471569,0.866265,-0.248810,5.813017
0.020000,1.282574,4.041911,1.326152,1.488779,0.860486,-0.288950,5.799475
0.020000,1.309139,4.027722,1.356269,1.505861,0.854115,-0.318548,5.785740
0.020000,1.335802,4.013003,1.386725,1.522805,0.847169,-0.347274,5.771820
0.020000,1.362549,3.997746,1.417517,1.539598,0.839671,-0.374902,5.757725
0.020000,1.389362,3.981941,1.448641,1.556231,0.831647,-0.401211,5.743464
0.020000,1.416228,3.965583,1.480095,1.572688,0.822849,-0.439914,5.729048
0.020000,1.443129,3.948665,1.511874,1.588963,0.813754,-0.454726,5.714489
0.020000,1.470049,3.931179,1.543975,1.605040,0.803827,-0.496337,5.699799
0.020000,1.496973,3.913121,1.576394,1.620917,0.793850,-0.498887,5.684989
0.020000,1.523875,3.894492,1.609116,1.636126,0.760470,-1.668981,5.670077
0.020000,1.550725,3.875299,1.642120,1.650208,0.704092,-2.818904,5.655086
0.020000,1.577491,3.855552,1.675384,1.663159,0.647571,-2.826064,5.640036
0.020000,1.604146,3.835259,1.708883,1.674980,0.591011,-2.827977,5.624950
0.020000,1.630659,3.814435,1.742596,1.685670,0.534518,-2.824638,5.609849
0.020000,1.657003,3.793093,1.776501,1.695234,0.478196,-2.816091,5.594756
0.020000,1.683152,3.771247,1.810575,1.703675,0.422030,-2.808316,5.579692
0.020000,1.709081,3.748915,1.844795,1.711000,0.366278,-2.787615,5.564677
0.020000,1.733127,3.727558,1.876957,1.608092,-5.145404,-275.584086,5.548742
0.020000,1.759377,3.703410,1.912624,1.783378,8.764273,695.483835,5.530130
0.020000,1.785366,3.678581,1.948567,1.797128,0.687534,-403.836945,5.511030
0.020000,1.811049,3.653076,1.984762,1.809787,0.632919,-2.730722,5.491460
0.020000,1.836383,3.626902,2.021189,1.821321,0.576724,-2.809776,5.471443
0.020000,1.861322,3.600070,2.057821,1.831610,0.514442,-3.114095,5.451007
0.020000,1.885823,3.572595,2.094633,1.840621,0.450577,-3.193254,5.430183
0.020000,1.909840,3.544495,2.131599,1.848268,0.382314,-3.413165,5.409008
0.020000,1.933331,3.515794,2.168688,1.854467,0.309954,-3.617987,5.387523
0.020000,1.956249,3.486524,2.205862,1.858691,0.211228,-4.936304,5.365779
0.020000,1.978547,3.456726,2.243080,1.860881,0.109465,-5.088137,5.343831
0.020000,2.000191,3.426435,2.280309,1.861456,0.028781,-4.034195,5.321731
0.020000,2.021146,3.395691,2.317515,1.860328,-0.056431,-4.260617,5.299536
0.020000,2.041381,3.364536,2.354665,1.857484,-0.142178,-4.287365,5.277305
0.020000,2.060871,3.333017,2.391723,1.852918,-0.228294,-4.305804,5.255095
0.020000,2.079594,3.301182,2.428655,1.846588,-0.316492,-4.409865,5.232967
0.020000,2.097531,3.269084,2.465425,1.838513,-0.403770,-4.363902,5.210981
0.020000,2.114669,3.236773,2.501999,1.828709,-0.490193,-4.321174,5.189196
0.020000,2.131000,3.204305,2.538344,1.817206,-0.575171,-4.248892,5.167669
0.020000,2.146520,3.171733,2.574424,1.804044,-0.658093,-4.146111,5.146453
0.020000,2.161230,3.139111,2.610210,1.789275,-0.738422,-4.016416,5.125601
0.020000,2.175136,3.106491,2.645669,1.772966,-0.815453,-3.851541,5.105160
0.020000,2.188246,3.073928,2.680773,1.755175,-0.889551,-3.704917,5.085173
0.020000,2.200575,3.041471,2.715492,1.735980,-0.959767,-3.510819,5.065678
0.020000,2.212139,3.009169,2.749802,1.715461,-1.025950,-3.309117,5.046710
0.020000,2.222958,2.977070,2.783676,1.693695,-1.088299,-3.117447,5.028298
0.020000,2.233055,2.945217,2.817091,1.670759,-1.146793,-2.924727,5.010465
0.020000,2.242457,2.913643,2.850034,1.647172,-1.179333,-1.627012,4.993228
0.020000,2.251195,2.882372,2.882503,1.623466,-1.185304,-0.298513,4.976591
0.020000,2.259302,2.851422,2.914498,1.599718,-1.187402,-0.104945,4.960558
0.020000,2.266807,2.820809,2.946017,1.575978,-1.187040,0.018145,4.945128
0.020000,2.273742,2.790547,2.977063,1.552287,-1.184516,0.126190,4.930298
0.020000,2.280138,2.760650,3.007637,1.528687,-1.180036,0.224002,4.916063
0.020000,2.286025,2.731127,3.037741,1.505207,-1.173966,0.303471,4.902414
0.020000,2.291432,2.701987,3.067379,1.481880,-1.166377,0.379471,4.889343
0.020000,2.296387,2.673236,3.096553,1.458725,-1.157736,0.432031,4.876839
0.020000,2.300918,2.644881,3.125268,1.435765,-1.148001,0.486779,4.864890
0.020000,2.305051,2.616924,3.153529,1.413015,-1.137501,0.525006,4.853484
0.020000,2.308811,2.589370,3.181338,1.390486,-1.126430,0.553533,4.842605
0.020000,2.312223,2.562220,3.208702,1.368192,-1.114702,0.586390,4.832241
0.020000,2.315309,2.535474,3.235625,1.346134,-1.102891,0.590536,4.822376
0.020000,2.318092,2.509135,3.262111,1.324322,-1.090605,0.614296,4.812995
0.020000,2.320593,2.483200,3.288167,1.302754,-1.078398,0.610381,4.804084
0.020000,2.322831,2.457669,3.313795,1.281432,-1.066113,0.614220,4.795627
0.020000,2.324825,2.432541,3.339002,1.260356,-1.053819,0.614745,4.787609
0.020000,2.326594,2.407814,3.363793,1.239524,-1.041572,0.612313,4.780015
0.020000,2.328153,2.383485,3.388171,1.218935,-1.029484,0.604416,4.772830
0.020000,2.329520,2.359552,3.412143,1.198578,-1.017823,0.583072,4.766040
0.020000,2.330708,2.336013,3.435712,1.178457,-1.006051,0.588553,4.759630
0.020000,2.331731,2.312865,3.458883,1.158563,-0.994685,0.568322,4.753586
0.020000,2.332604,2.290103,3.481661,1.138892,-0.983593,0.554579,4.747895
