dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,4.000000,0.000008,0.000775,0.038728,1.936412,6.281898
0.020000,0.000000,4.000000,0.000039,0.002324,0.077456,1.936412,6.281890
0.020000,0.000000,4.000000,0.000108,0.004647,0.116185,1.936412,6.281872
0.020000,0.000000,4.000000,0.000232,0.007746,0.154913,1.936412,6.281840
0.020000,0.000000,4.000000,0.000426,0.011618,0.193641,1.936412,6.281790
0.020000,0.000000,4.000000,0.000705,0.016266,0.232369,1.936412,6.281717
0.020000,0.000000,4.000000,0.001084,0.021688,0.271098,1.936412,6.281619
0.020000,0.000000,4.000000,0.001580,0.027884,0.309826,1.936412,6.281490
0.020000,0.000542,3.999999,0.002208,0.034855,0.348554,1.936412,6.281327
0.020000,0.001316,3.999998,0.002982,0.042601,0.387282,1.936412,6.281126
0.020000,0.002254,3.999995,0.003919,0.051121,0.426011,1.936412,6.280882
0.020000,0.003369,3.999993,0.005035,0.060416,0.464739,1.936412,6.280592
0.020000,0.004678,3.999989,0.006344,0.070485,0.503467,1.936412,6.280251
0.020000,0.006196,3.999984,0.007862,0.081329,0.542195,1.936412,6.279854
0.020000,0.007939,3.999978,0.009605,0.092948,0.580924,1.936412,6.279399
0.020000,0.009922,3.999970,0.011587,0.105341,0.619652,1.936412,6.278880
0.020000,0.012160,3.999960,0.013826,0.118508,0.658380,1.936412,6.278292
0.020000,0.014670,3.999947,0.016336,0.132451,0.697108,1.936412,6.277632
0.020000,0.017458,3.999930,0.019124,0.146393,0.697108,0.000000,6.276897
0.020000,0.020525,3.999910,0.022191,0.160335,0.697108,0.000000,6.276087
0.020000,0.023871,3.999884,0.025537,0.174277,0.697108,0.000000,6.275200
0.020000,0.027496,3.999854,0.029162,0.188219,0.697108,-0.000000,6.274235
0.020000,0.031400,3.999817,0.033066,0.202161,0.697108,0.000000,6.273193
0.020000,0.035582,3.999773,0.037249,0.216104,0.697108,0.000000,6.272073
0.020000,0.040043,3.999720,0.041710,0.230046,0.697108,0.000000,6.270872
0.020000,0.044783,3.999659,0.046451,0.243988,0.697108,-0.000000,6.269592
0.020000,0.049802,3.999587,0.051470,0.257930,0.697108,0.000000,6.268230
0.020000,0.055099,3.999504,0.056768,0.271872,0.697108,-0.000000,6.266785
