dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000418,3.675000,0.000008,0.000775,0.038728,1.936412,6.281898
0.020000,-0.000421,3.675000,0.000010,0.000131,-0.032201,-3.546468,6.281890
0.020000,-0.000427,3.675000,0.000016,0.000294,0.008160,2.018033,6.281872
0.020000,-0.000437,3.675000,0.000027,0.000522,0.011425,0.163280,6.281840
0.020000,-0.000454,3.675000,0.000043,0.000816,0.014693,0.163416,6.281790
0.020000,-0.000477,3.675000,0.000067,0.001175,0.017966,0.163639,6.281717
0.020000,-0.000509,3.675000,0.000099,0.001600,0.021246,0.163971,6.281619
0.020000,-0.000551,3.675000,0.000140,0.002091,0.024534,0.164433,6.281490
0.020000,-0.000062,3.675000,0.000629,0.024443,1.117605,54.653544,6.281327
0.020000,0.000647,3.674998,0.001338,0.035457,0.550689,-28.345796,6.281126
0.020000,0.001505,3.674996,0.002196,0.042900,0.372173,-8.925831,6.280882
0.020000,0.002526,3.674994,0.003217,0.051049,0.407426,1.762660,6.280592
0.020000,0.003724,3.674991,0.004415,0.059907,0.442918,1.774620,6.280251
0.020000,0.005114,3.674986,0.005805,0.069469,0.478091,1.758657,6.279854
0.020000,0.006708,3.674980,0.007400,0.079736,0.513341,1.762463,6.279399
0.020000,0.008522,3.674973,0.009214,0.090706,0.548522,1.759068,6.278880
0.020000,0.010570,3.674964,0.011261,0.102382,0.583774,1.762618,6.278292
0.020000,0.012865,3.674952,0.013556,0.114756,0.618696,1.746073,6.277632
0.020000,0.015415,3.674937,0.016106,0.127478,0.636094,0.869888,6.276897
0.020000,0.018218,3.674918,0.018910,0.140189,0.635546,-0.027386,6.276087
0.020000,0.021276,3.674895,0.021968,0.152890,0.635069,-0.023826,6.275200
0.020000,0.024588,3.674867,0.025279,0.165580,0.634498,-0.028576,6.274235
0.020000,0.028152,3.674833,0.028844,0.178256,0.633831,-0.033344,6.273193
0.020000,0.031971,3.674793,0.032663,0.190922,0.633282,-0.027423,6.272073
0.020000,0.036042,3.674745,0.036734,0.203570,0.632412,-0.043521,6.270872
0.020000,0.040366,3.674689,0.041058,0.216206,0.631764,-0.032393,6.269592
0.020000,0.044942,3.674624,0.045635,0.228824,0.630904,-0.042984,6.268230
0.020000,0.049770,3.674548,0.050463,0.241425,0.630069,-0.041784,6.266785
0.020000,0.054849,3.674461,0.055543,0.254007,0.629118,-0.047526,6.265256
0.020000,0.060179,3.674361,0.060875,0.266569,0.628055,-0.053156,6.263643
0.020000,0.065760,3.674247,0.066457,0.279113,0.627196,-0.042938,6.261944
0.020000,0.071592,3.674118,0.072290,0.291633,0.626007,-0.059451,6.260157
0.020000,0.077673,3.673972,0.078372,0.304130,0.624873,-0.056710,6.258281
0.020000,0.084002,3.673808,0.084704,0.316603,0.623668,-0.060256,6.256315
0.020000,0.090581,3.673625,0.091285,0.329054,0.622515,-0.057656,6.254257
0.020000,0.097407,3.673420,0.098115,0.341476,0.621091,-0.071178,6.252105
0.020000,0.104481,3.673192,0.105192,0.353872,0.619833,-0.062912,6.249859
0.020000,0.111802,3.672939,0.112517,0.366239,0.618331,-0.075103,6.247515
0.020000,0.119368,3.672660,0.120089,0.378576,0.616877,-0.072691,6.245073
0.020000,0.127180,3.672352,0.127906,0.390883,0.615317,-0.078024,6.242530
0.020000,0.135236,3.672014,0.135969,0.403158,0.613775,-0.077106,6.239884
0.020000,0.143535,3.671643,0.144277,0.415399,0.612059,-0.085758,6.237134
0.020000,0.152078,3.671237,0.152830,0.427607,0.610397,-0.083138,6.234277
0.020000,0.160862,3.670794,0.161625,0.439778,0.608550,-0.092354,6.231311
0.020000,0.169888,3.670312,0.170663,0.451913,0.606717,-0.091619,6.228233
0.020000,0.179153,3.669787,0.179944,0.464008,0.604775,-0.097116,6.225043
0.020000,0.188657,3.669218,0.189465,0.476067,0.602949,-0.091317,6.221736
0.020000,0.198399,3.668602,0.199227,0.488081,0.600709,-0.111965,6.218310
0.020000,0.208378,3.667936,0.209228,0.500056,0.598739,-0.098498,6.214764
0.020000,0.218593,3.667217,0.219467,0.511987,0.596542,-0.109891,6.211094
0.020000,0.229042,3.666443,0.229945,0.523873,0.594315,-0.111326,6.207297
0.020000,0.239723,3.665609,0.240659,0.535714,0.592043,-0.113599,6.203371
0.020000,0.250637,3.664714,0.251609,0.547505,0.589560,-0.124174,6.199312
0.020000,0.261781,3.663754,0.262794,0.559252,0.587339,-0.111030,6.195119
0.020000,0.273153,3.662725,0.274213,0.570946,0.584711,-0.131419,6.190787
0.020000,0.284753,3.661624,0.285865,0.582590,0.582190,-0.126018,6.186314
0.020000,0.296578,3.660447,0.297749,0.594181,0.579566,-0.131205,6.181696
0.020000,0.308627,3.659191,0.309863,0.605722,0.577012,-0.127683,6.176930
0.020000,0.320898,3.657852,0.322207,0.617204,0.574118,-0.144745,6.172013
0.020000,0.333390,3.656426,0.334780,0.628634,0.571520,-0.129900,6.166941
0.020000,0.346100,3.654908,0.347580,0.640006,0.568574,-0.147257,6.161711
0.020000,0.359026,3.653295,0.360606,0.651320,0.565701,-0.143681,6.156319
0.020000,0.372166,3.651582,0.373858,0.662577,0.562864,-0.141831,6.150763
0.020000,0.385519,3.649764,0.387333,0.673773,0.559793,-0.153536,6.145037
0.020000,0.399081,3.647838,0.401032,0.684911,0.556875,-0.145920,6.139138
0.020000,0.412850,3.645798,0.414951,0.695986,0.553787,-0.154400,6.133063
0.020000,0.426824,3.643640,0.429091,0.707001,0.550752,-0.151744,6.126808
0.020000,0.441001,3.641358,0.443450,0.717955,0.547661,-0.154574,6.120370
0.020000,0.455377,3.638947,0.458027,0.728847,0.544611,-0.152460,6.113743
