dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,4.000000,0.000001,0.000200,0.019995,1.999474,6.281088
0.010000,0.000000,4.000000,0.000005,0.000600,0.039989,1.999474,6.281091
0.010000,0.000000,4.000000,0.000014,0.001200,0.059984,1.999474,6.281097
0.010000,0.000000,4.000000,0.000030,0.001999,0.079979,1.999474,6.281108
0.010000,0.000000,4.000000,0.000055,0.002999,0.099974,1.999474,6.281125
0.010000,0.000000,4.000000,0.000091,0.004199,0.119968,1.999474,6.281150
0.010000,0.000000,4.000000,0.000140,0.005599,0.139963,1.999474,6.281183
0.010000,0.000000,4.000000,0.000204,0.007198,0.159958,1.999474,6.281227
0.010000,0.000000,4.000000,0.000285,0.008998,0.179953,1.999474,6.281282
0.010000,0.000000,4.000000,0.000385,0.010997,0.199947,1.999474,6.281350
0.010000,0.000000,4.000000,0.000506,0.013197,0.219942,1.999474,6.281433
0.010000,0.000000,4.000000,0.000650,0.015596,0.239937,1.999474,6.281531
0.010000,0.000000,4.000000,0.000819,0.018195,0.259932,1.999474,6.281646
0.010000,0.000000,4.000000,0.001015,0.020994,0.279926,1.999474,6.281780
0.010000,0.000000,4.000000,0.001240,0.023994,0.299921,1.999474,6.281933
0.010000,0.000000,4.000000,0.001496,0.027193,0.319916,1.999474,6.282108
0.010000,0.000000,4.000000,0.001785,0.030592,0.339911,1.999474,6.282305
0.010000,0.000000,4.000000,0.002108,0.034191,0.359905,1.999474,6.282525
0.010000,0.000000,4.000000,0.002469,0.037990,0.379900,1.999474,6.282772
0.010000,0.000000,4.000000,0.002869,0.041989,0.399895,1.999474,6.283044
0.010000,0.000234,4.000000,0.003310,0.046188,0.419890,1.999474,0.000160
0.010000,0.000718,4.000000,0.003794,0.050587,0.439884,1.999474,0.000490
0.010000,0.001247,4.000001,0.004323,0.055185,0.459879,1.999474,0.000851
0.010000,0.001823,4.000001,0.004899,0.059984,0.479874,1.999474,0.001244
